framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,128,32,1,1,128,1,bfloat16,bfloat16,0,0.011690666278203329
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,512,24,2,128,1,bfloat16,bfloat16,0,0.4447786808013916
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,3072,2,2,128,1,bfloat16,bfloat16,0,0.48573867479960126
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,2048,64,64,256,1,bfloat16,bfloat16,0,8.108837127685547
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,12288,8,1,256,1,bfloat16,bfloat16,0,4.406533241271973
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,4096,16,16,128,1,bfloat16,bfloat16,0,1.5428694089253743
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,8192,16,1,256,1,bfloat16,bfloat16,0,3.922570546468099
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,128,64,2,128,1,bfloat16,bfloat16,0,0.02621866762638092
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,2048,12,1,128,1,bfloat16,bfloat16,0,0.19359999895095825
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,6144,48,2,128,1,bfloat16,bfloat16,0,2.5153493881225586
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,2048,40,40,256,1,bfloat16,bfloat16,0,20.329920450846355
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,2048,12,2,256,1,bfloat16,bfloat16,0,1.585840066274007
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,16384,24,8,128,1,bfloat16,bfloat16,0,16.738800048828125
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,256,1,16,1,128,1,bfloat16,bfloat16,0,0.01692266638080279
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,8192,48,1,256,1,bfloat16,bfloat16,0,11.21352513631185
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,4096,32,1,256,1,bfloat16,bfloat16,0,3.9073546727498374
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,64,48,48,128,1,bfloat16,bfloat16,0,0.009103999783595404
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,6144,32,8,256,1,bfloat16,bfloat16,0,8.518922805786133
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,1024,16,1,256,1,bfloat16,bfloat16,0,0.10994133353233337
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,3072,32,4,256,1,bfloat16,bfloat16,0,17.533850351969402
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,256,32,16,2,128,1,bfloat16,bfloat16,0,0.14751467108726501
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,16,4,4,128,1,bfloat16,bfloat16,0,0.00897066667675972
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,128,48,1,128,1,bfloat16,bfloat16,0,0.06559466818968455
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,16,12,1,256,1,bfloat16,bfloat16,0,0.009712000067035357
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,128,24,8,256,1,bfloat16,bfloat16,0,0.07762666543324788
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,256,512,4,1,256,1,bfloat16,bfloat16,0,1.3947733243306477
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,64,32,32,4,256,1,bfloat16,bfloat16,0,0.13193066914876303
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,10240,40,4,128,1,bfloat16,bfloat16,0,21.87714131673177
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,32,40,1,256,1,bfloat16,bfloat16,0,0.016421332955360413
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,1536,2,2,128,1,bfloat16,bfloat16,0,0.04221866528193156
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,32,8,4,256,1,bfloat16,bfloat16,0,0.022789334257443745
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,6144,8,8,128,1,bfloat16,bfloat16,0,3.318688074747721
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,6144,40,2,128,1,bfloat16,bfloat16,0,16.121312459309895
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,32,24,8,256,1,bfloat16,bfloat16,0,0.01657066618402799
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,256,2,2,256,1,bfloat16,bfloat16,0,0.027973333994547527
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,6144,48,4,256,1,bfloat16,bfloat16,0,12.667301177978516
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,128,512,24,8,128,1,bfloat16,bfloat16,0,1.7546720504760742
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,64,128,12,12,128,1,bfloat16,bfloat16,0,0.07524799803892772
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,4096,48,48,128,1,bfloat16,bfloat16,0,17.613568623860676
