framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,48,8,256,1,bfloat16,bfloat16,127,0.04692266881465912
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,8,1,1,1,128,1,bfloat16,bfloat16,3,0.008090666805704435
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,4,1,64,1,128,1,bfloat16,bfloat16,511,0.016938666502634685
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,2,1,128,1,bfloat16,bfloat16,127,0.00955200009047985
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,256,1,32,8,128,1,bfloat16,bfloat16,15,0.08700799942016602
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,16,1,12,2,256,1,bfloat16,bfloat16,2047,0.07177599767843883
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,4,2,256,1,bfloat16,bfloat16,32767,1.3124639987945557
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,512,1,40,1,256,1,bfloat16,bfloat16,1,0.046485334634780884
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,4,1,32,1,128,1,bfloat16,bfloat16,3,0.009663999701539675
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,8,1,16,4,256,1,bfloat16,bfloat16,4095,0.10914666453997295
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,512,1,1,1,128,1,bfloat16,bfloat16,63,0.02221333235502243
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,4,2,128,1,bfloat16,bfloat16,65535,0.07786666850248973
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,128,1,24,1,128,1,bfloat16,bfloat16,511,0.04841066896915436
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,8,1,12,2,128,1,bfloat16,bfloat16,7,0.015935999651749928
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2048,1,48,8,256,1,bfloat16,bfloat16,7,1.090458631515503
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,4,1,16,1,128,1,bfloat16,bfloat16,8191,0.031850665807724
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,256,1,40,1,256,1,bfloat16,bfloat16,63,0.032672000428040825
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,8,1,256,1,bfloat16,bfloat16,1,0.009722666814923286
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,64,1,24,1,128,1,bfloat16,bfloat16,31,0.01033599985142549
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,64,1,40,8,128,1,bfloat16,bfloat16,15,0.031498665610949196
