framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,2,16,1,1,65536,1.3327
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,1,32,1,1,16,0.1676
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,16,4,1,1,2,0.1565
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,16,512,1,1,4,0.4342
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,2,256,1,1,512,0.3966
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,8,64,1,1,4,0.1666
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,1,16,1,1,128,0.1933
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,2,64,1,1,512,0.2285
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,128,32,1,1,128,0.4554
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,8,1,1,1,1024,0.1797
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,16,1,1,2,0.2636
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,2,512,1,1,16,0.2623
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,128,64,1,1,1024,0.9970
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1,1,512,0.3043
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,128,2,1,1,32,0.3401
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,1024,1,1,128,2.2916
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,8,1,1,512,0.3259
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,4,8,1,1,512,0.2163
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,4,4,1,1,4,0.1343
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,2,512,1,1,8,0.2574
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,8,16,1,1,4,0.1531
