framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,1,4096,14336,2,8,2,1,power_law_1.2,0.36294400691986084
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,2,4096,14336,2,8,2,1,power_law_1.2,0.4404607772827148
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,4,4096,14336,2,8,2,1,power_law_1.2,0.5841599941253662
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,8,4096,14336,2,8,2,1,power_law_1.2,0.9242624282836914
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,16,4096,14336,2,8,2,1,power_law_1.2,1.2621952056884767
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,1,7168,2048,8,256,1,64,power_law_1.2,0.0809984028339386
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,32,4096,14336,2,8,2,1,power_law_1.2,1.4181056022644043
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,1,7168,2048,8,384,8,1,balanced,0.07470933099587758
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,1,4096,1536,8,128,1,32,balanced,0.05629333357016245
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,1,7168,2048,8,256,32,1,power_law_1.01,0.05425919890403748
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,1,6144,2560,8,160,1,4,power_law_1.2,0.13578239679336548
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,2,7168,2048,8,256,1,64,power_law_1.2,0.09107840061187744
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,2,4096,1536,8,128,1,32,balanced,0.056421334544817604
