framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,16,64,8,128,1,bfloat16,bfloat16,0,0.012965332716703415
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,16,24,4,128,1,bfloat16,bfloat16,0,0.009136000027259191
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,128,24,1,128,1,bfloat16,bfloat16,0,0.05958933134873708
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,128,16,16,128,1,bfloat16,bfloat16,0,0.041093334555625916
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,64,2,2,128,1,bfloat16,bfloat16,0,0.009189333145817121
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,12288,40,40,128,1,bfloat16,bfloat16,0,3.9490133921305337
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,128,64,8,256,1,bfloat16,bfloat16,0,0.011663999408483505
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,6144,4,4,256,1,bfloat16,bfloat16,0,0.116047998269399
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,1536,16,2,256,1,bfloat16,bfloat16,0,0.9184160232543945
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,8,2048,8,8,256,1,bfloat16,bfloat16,0,0.13321066896120706
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,16,1,1,128,1,bfloat16,bfloat16,0,0.009098666409651438
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,10240,4,1,256,1,bfloat16,bfloat16,0,0.5194293260574341
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,8192,64,64,256,1,bfloat16,bfloat16,0,1.2114240328470867
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,1,8,1,256,1,bfloat16,bfloat16,0,0.008757333581646284
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,2048,8,2,256,1,bfloat16,bfloat16,0,0.7464319864908854
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,1536,16,16,256,1,bfloat16,bfloat16,0,0.05332266787687937
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,16,24,24,128,1,bfloat16,bfloat16,0,0.008767999708652496
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,1,32,8,128,1,bfloat16,bfloat16,0,0.0069759997228781385
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,32,2,1,256,1,bfloat16,bfloat16,0,0.009093333035707474
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,128,512,48,2,256,1,bfloat16,bfloat16,0,1.2643413543701172
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,32,16,2,256,1,bfloat16,bfloat16,0,0.029530666768550873
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,8,1024,4,2,128,1,bfloat16,bfloat16,0,0.022298666338125866
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,512,12,2,128,1,bfloat16,bfloat16,0,0.11803199847539265
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,2048,2,2,128,1,bfloat16,bfloat16,0,0.09804266691207886
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,64,48,2,256,1,bfloat16,bfloat16,0,0.010778666784365972
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,32,8,4,256,1,bfloat16,bfloat16,0,0.01905599981546402
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,2048,32,4,256,1,bfloat16,bfloat16,0,0.11981333295504253
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,32,16,1,128,1,bfloat16,bfloat16,0,0.020928000410397846
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,64,4,4,256,1,bfloat16,bfloat16,0,0.010144000252087912
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,8,256,4,4,256,1,bfloat16,bfloat16,0,0.013151999562978745
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,16,12,4,128,1,bfloat16,bfloat16,0,0.009045333291093508
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,32,32,2,256,1,bfloat16,bfloat16,0,0.009066666786869368
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,16,64,1,128,1,bfloat16,bfloat16,0,0.052704001466433205
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,128,1,1,256,1,bfloat16,bfloat16,0,0.010911999891201654
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,4096,32,2,128,1,bfloat16,bfloat16,0,3.0984106063842773
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,6144,16,2,256,1,bfloat16,bfloat16,0,0.24759999910990396
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,16,8,8,256,1,bfloat16,bfloat16,0,0.012981332838535309
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,16384,48,8,256,1,bfloat16,bfloat16,0,4.361066818237305
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,16384,8,1,128,1,bfloat16,bfloat16,0,1.6759840647379558
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,1536,16,1,256,1,bfloat16,bfloat16,0,0.08017600079377492
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,1536,48,8,256,1,bfloat16,bfloat16,0,1.0917173226674397
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,8192,4,4,256,1,bfloat16,bfloat16,0,0.49319998423258465
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,128,16,4,256,1,bfloat16,bfloat16,0,0.025407999753952026
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,512,2,2,128,1,bfloat16,bfloat16,0,0.02640533447265625
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,32,16,40,8,256,1,bfloat16,bfloat16,0,0.035760000348091125
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,16384,1,1,128,1,bfloat16,bfloat16,0,0.19265600045522055
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,256,64,16,8,128,1,bfloat16,bfloat16,0,0.10769066214561462
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,32,48,1,256,1,bfloat16,bfloat16,0,0.02515200028816859
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,2048,32,8,256,1,bfloat16,bfloat16,0,0.21254400412241617
