framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,9,3584,32,0.0021688888470331826
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,1,51200,256,0.006360888895061281
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,192,65536,2048,0.05312711000442505
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,512,51200,3584,0.10641422536638047
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,16384,3584,2048,0.1620675590303209
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,112,32,10240,0.00591466658645206
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,257,12288,10240,0.05096977618005541
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,14,1536,512,0.0024782222592168385
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,3840,51200,2048,0.4067208766937256
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,3585,32,1536,0.004202666795916027
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,4353,1024,8192,0.037864890363481306
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,769,4096,65536,0.25959645377265084
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,2,128,2560,0.004579555657174853
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,128,5120,10240,0.02128977742460039
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,3584,10240,256,0.020063110523753695
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,6,1024,12288,0.014448000325096978
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,97,65536,512,0.01348444405529234
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,161,2560,3584,0.009353777600659264
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,17,2560,6144,0.01071911139620675
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,10,65536,1536,0.03141955534617106
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,64,32,3584,0.004587555511130227
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,1024,1024,256,0.007272000114123027
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,48,3584,65536,0.06148266792297363
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,224,5120,3072,0.009337777892748514
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,160,65536,6144,0.055849777327643506
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,bfloat16,1024,8192,51200,0.4508773485819499
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,4352,10240,512,0.031607998741997614
VLLM,0.20.0,NVIDIA B200,gemm,vllm_default,nvfp4,3072,65536,8192,0.6186399989657932
