framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,1,7168,2048,8,384,16,1,balanced,0.0601440022389094
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,2,7168,2048,8,384,16,1,balanced,0.06639466683069865
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,4,7168,2048,8,384,16,1,balanced,0.0972106655438741
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,8,7168,2048,8,384,16,1,balanced,0.14916266997655234
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,16,7168,2048,8,384,16,1,balanced,0.26838932434717816
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,32,7168,2048,8,384,16,1,balanced,0.5090293486913046
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,48,7168,2048,8,384,16,1,balanced,0.7443733215332031
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,64,7168,2048,8,384,16,1,balanced,0.726576010386149
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,80,7168,2048,8,384,16,1,balanced,0.7944160302480062
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,96,7168,2048,8,384,16,1,balanced,0.9072533448537191
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,128,7168,2048,8,384,16,1,balanced,0.9466719627380371
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,160,7168,2048,8,384,16,1,balanced,1.095098654429118
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,192,7168,2048,8,384,16,1,balanced,1.1716960271199544
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,1,4096,1024,10,512,1,2,power_law_1.01,0.08947839736938476
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,256,7168,2048,8,384,16,1,balanced,1.3906399408976238
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,2,4096,1024,10,512,1,2,power_law_1.01,0.09790719747543335
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,4,4096,1024,10,512,1,2,power_law_1.01,0.145798397064209
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,8,4096,1024,10,512,1,2,power_law_1.01,0.25194239616394043
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,16,4096,1024,10,512,1,2,power_law_1.01,0.45333118438720704
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,32,4096,1024,10,512,1,2,power_law_1.01,0.6870783805847168
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,1,6144,2560,8,160,1,32,power_law_1.2,0.09721599817276001
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1,7168,2048,8,384,1,8,power_law_1.01,0.025791999697685242
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,2,6144,2560,8,160,1,32,power_law_1.2,0.11083519458770752
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,48,4096,1024,10,512,1,2,power_law_1.01,0.8847743988037109
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,2,7168,2048,8,384,1,8,power_law_1.01,0.026131200790405273
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,1,7168,2048,8,384,1,64,power_law_1.2,0.09330559968948364
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,2,7168,2048,8,384,1,64,power_law_1.2,0.09114239811897278
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,4,7168,2048,8,384,1,8,power_law_1.01,0.03052160143852234
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,64,4096,1024,10,512,1,2,power_law_1.01,1.122764778137207
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,4,7168,2048,8,384,1,64,power_law_1.2,0.09145600199699402
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8,7168,2048,8,384,1,8,power_law_1.01,0.061715197563171384
