framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,16,4,1,1,131072,0.2064
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,16,1,1,128,0.2381
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,nvfp4,4,4,1,1,32,0.1810
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,1,1,64,0.1986
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,nvfp4,16,32,1,1,4096,0.2310
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,nvfp4,1,128,1,1,8192,0.2980
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,16,1,1,1,1024,0.1565
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,128,16,1,1,2,0.2540
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,2,64,1,1,2048,0.2256
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,1,64,1,1,4096,0.2389
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,8,1,1,1,8,0.1464
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,128,128,1,1,16384,0.4641
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,64,64,1,1,256,0.2302
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,32,256,1,1,32,0.3311
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,nvfp4,16,1024,1,1,16384,1.3216
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,16,4,1,1,2048,0.1876
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,2,16,1,1,4,0.1934
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,64,16,1,1,32768,0.2498
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1024,1,1,4,0.9352
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,nvfp4,64,2,1,1,4096,0.1955
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,128,1,1,1,2048,0.2329
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,nvfp4,16,1024,1,1,8,0.4310
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,32,256,1,1,4096,0.4293
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,64,4,1,1,8,0.2153
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,nvfp4,128,512,1,1,256,0.5727
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,nvfp4,128,512,1,1,4096,0.7570
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,2,2,1,1,65536,0.1863
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,128,32,1,1,32,0.3067
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,16,256,1,1,8,0.2568
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,nvfp4,128,4,1,1,512,0.2052
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,16,32,1,1,256,0.2034
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,16,512,1,1,1024,0.5430
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,nvfp4,128,128,1,1,32,0.2907
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,8,2,1,1,65536,0.2014
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,16,32,1,1,131072,0.3502
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,nvfp4,8,1,1,1,128,0.1463
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,1,16,1,1,256,0.1862
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,128,1,1,131072,0.7469
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,4,256,1,1,512,0.3419
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,128,256,1,1,1024,0.6395
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,nvfp4,8,256,1,1,32,0.3515
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,1,256,1,1,8,0.3384
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,nvfp4,16,2,1,1,16,0.1647
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,128,2,1,1,16384,0.2816
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,2,8,1,1,4096,0.1984
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,4,32,1,1,32768,0.2374
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,1,64,1,1,512,0.2094
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,64,256,1,1,65536,0.8449
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,128,64,1,1,32768,0.4441
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,4,64,1,1,64,0.2348
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,8,1,1,128,0.2245
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,128,512,1,1,128,0.9378
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,nvfp4,16,64,1,1,256,0.1875
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,nvfp4,4,4,1,1,8192,0.1771
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,nvfp4,2,1,1,1,131072,0.1735
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,64,2,1,1,4096,0.2073
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,32,128,1,1,2048,0.2779
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,nvfp4,1,4,1,1,2048,0.1564
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,2,512,1,1,4096,0.5931
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,32,32,1,1,128,0.2244
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,32,4,1,1,32768,0.2314
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,32,16,1,1,65536,0.2738
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,nvfp4,128,8,1,1,128,0.2617
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,nvfp4,1,1,1,1,128,0.1525
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,nvfp4,8,2,1,1,128,0.1546
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,4,32,1,1,4096,0.2114
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,128,256,1,1,16,0.5791
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,8,512,1,1,16384,0.7694
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,16,512,1,1,128,0.5311
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,8,32,1,1,256,0.1959
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,128,4,1,1,128,0.2720
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,4,8,1,1,8,0.1799
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,32,16,1,1,4,0.1929
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,nvfp4,4,16,1,1,2,0.1954
VLLM,0.20.0,NVIDIA B300 SXM6 AC,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,64,1,1,1,4096,0.1951
