framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,128,128,1,1,16,0.2373
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,nvfp4,128,4,1,1,64,0.1263
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,1,512,1,1,512,0.1742
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,1,1,1,1,131072,0.1155
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,8,256,1,1,1024,0.1765
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,4,32,1,1,4,0.0889
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,128,256,1,1,1024,0.2667
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,128,8,1,1,32768,0.1780
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,64,256,1,1,4096,0.2741
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,2,1,1,4,0.1111
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,1,8,1,1,128,0.0726
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,nvfp4,2,4,1,1,32,0.0868
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,64,128,1,1,64,0.1468
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,1,16,1,1,16,0.0771
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,1,32,1,1,32768,0.3086
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,8,2,1,1,256,0.0767
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,8,1,1,128,0.0866
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,nvfp4,16,1024,1,1,1024,0.2769
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,2,1,1,1,32768,0.0746
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,nvfp4,1,8,1,1,4,0.0908
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,nvfp4,64,16,1,1,256,0.1200
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,nvfp4,32,32,1,1,512,0.1197
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,2,512,1,1,256,0.1271
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,128,32,1,1,16,0.1624
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,1,32,1,1,4,0.0989
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,4,1024,1,1,256,0.1655
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,nvfp4,32,1024,1,1,128,0.4638
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,4,4,1,1,64,0.0874
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,4,8,1,1,128,0.0747
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,1,2,1,1,32,0.0642
