framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,1,16,24,4,128,1,bfloat16,bfloat16,0,0.01028266673286756
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,2,1536,16,16,256,1,bfloat16,bfloat16,0,0.054511999090512596
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,64,128,24,1,128,1,bfloat16,bfloat16,0,0.056015998125076294
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,64,2,2,128,1,bfloat16,bfloat16,0,0.009226666763424873
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,64,128,16,16,128,1,bfloat16,bfloat16,0,0.03760000069936117
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,2,128,64,8,256,1,bfloat16,bfloat16,0,0.012885333349307379
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,12288,40,40,128,1,bfloat16,bfloat16,0,3.6415732701619468
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,1,8192,64,64,256,1,bfloat16,bfloat16,0,1.142896016438802
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,64,1536,16,2,256,1,bfloat16,bfloat16,0,0.851477305094401
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,1,6144,4,4,256,1,bfloat16,bfloat16,0,0.11812800168991089
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,8,2048,8,8,256,1,bfloat16,bfloat16,0,0.13472533226013184
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,16,1,1,128,1,bfloat16,bfloat16,0,0.009125333279371262
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,10240,4,1,256,1,bfloat16,bfloat16,0,0.6027359962463379
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,64,2048,8,2,256,1,bfloat16,bfloat16,0,0.8392480214436849
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,16,1,8,1,256,1,bfloat16,bfloat16,0,0.008698666468262672
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,128,512,48,2,256,1,bfloat16,bfloat16,0,1.1920586427052815
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,2,16,24,24,128,1,bfloat16,bfloat16,0,0.010778666784365972
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,1,1,32,8,128,1,bfloat16,bfloat16,0,0.008170666793982187
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,32,2,1,256,1,bfloat16,bfloat16,0,0.00966933307548364
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,64,32,16,2,256,1,bfloat16,bfloat16,0,0.027349332968393963
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,64,512,12,2,128,1,bfloat16,bfloat16,0,0.10583466291427612
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,2048,2,2,128,1,bfloat16,bfloat16,0,0.0941493312517802
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,8,1024,4,2,128,1,bfloat16,bfloat16,0,0.02366400013367335
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,1,64,48,2,256,1,bfloat16,bfloat16,0,0.011205332974592844
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,16,64,1,128,1,bfloat16,bfloat16,0,0.049866666396458946
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,64,32,8,4,256,1,bfloat16,bfloat16,0,0.019493332753578823
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,2,2048,32,4,256,1,bfloat16,bfloat16,0,0.11181333661079407
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,32,16,1,128,1,bfloat16,bfloat16,0,0.019685332973798115
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,16,64,8,128,1,bfloat16,bfloat16,0,0.013194666554530462
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,4096,32,2,128,1,bfloat16,bfloat16,0,2.8673280080159507
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,16,64,4,4,256,1,bfloat16,bfloat16,0,0.011109333485364914
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,8,256,4,4,256,1,bfloat16,bfloat16,0,0.013258667041858038
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,16384,8,1,128,1,bfloat16,bfloat16,0,1.3322880268096924
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,1,32,32,2,256,1,bfloat16,bfloat16,0,0.009354666496316591
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,1,6144,16,2,256,1,bfloat16,bfloat16,0,0.2082293430964152
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,1,16384,48,8,256,1,bfloat16,bfloat16,0,3.078709284464518
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,16,128,1,1,256,1,bfloat16,bfloat16,0,0.011168000598748526
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,16,12,4,128,1,bfloat16,bfloat16,0,0.009392000113924345
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,16,32,48,1,256,1,bfloat16,bfloat16,0,0.025098666548728943
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,16,8,8,256,1,bfloat16,bfloat16,0,0.01328533391157786
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,16,1536,48,8,256,1,bfloat16,bfloat16,0,0.7111413478851318
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,1536,16,1,256,1,bfloat16,bfloat16,0,0.08541333675384521
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,128,16,4,256,1,bfloat16,bfloat16,0,0.025381334125995636
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,8192,4,4,256,1,bfloat16,bfloat16,0,0.42393068472544354
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,64,512,2,2,128,1,bfloat16,bfloat16,0,0.02734400083621343
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,16,40,8,256,1,bfloat16,bfloat16,0,0.03147733211517334
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,8192,64,8,256,1,bfloat16,bfloat16,0,6.319360097249349
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,256,64,16,8,128,1,bfloat16,bfloat16,0,0.09947733084360759
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,8,16384,64,1,256,1,bfloat16,bfloat16,0,30.82683817545573
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,2,16384,1,1,128,1,bfloat16,bfloat16,0,0.19367466370264688
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,1,1024,8,2,128,1,bfloat16,bfloat16,0,0.022895999252796173
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,32,1536,8,8,256,1,bfloat16,bfloat16,0,0.2948639988899231
VLLM,0.20.0,NVIDIA GB200,context_attention,vllm_flashinfer,4,2048,32,8,256,1,bfloat16,bfloat16,0,0.33125332991282147
