framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,2048,1,1,1,256,1,bfloat16,bfloat16,7,0.04215999941031138
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,4,1,8,4,256,1,bfloat16,bfloat16,63,0.008986666798591614
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,32,1,16,8,256,1,bfloat16,bfloat16,8191,0.29046400388081867
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,128,1,8,1,256,1,bfloat16,bfloat16,1023,0.028586665789286297
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,32,1,32,8,128,1,bfloat16,bfloat16,1,0.010703999549150467
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,16,1,24,2,128,1,bfloat16,bfloat16,31,0.008752000207702318
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,2048,1,2,2,128,1,bfloat16,bfloat16,255,0.08069866895675659
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,2048,1,2,1,256,1,bfloat16,bfloat16,1,0.04200000067551931
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,1,1,12,4,128,1,bfloat16,bfloat16,1,0.0069386667261521024
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,4,1,12,4,128,1,bfloat16,bfloat16,1023,0.009141333401203156
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,512,1,24,4,128,1,bfloat16,bfloat16,3,0.025360000630219776
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,4,1,48,8,256,1,bfloat16,bfloat16,1,0.00903466654320558
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,2048,1,2,2,256,1,bfloat16,bfloat16,15,0.0747519979874293
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,256,1,8,8,256,1,bfloat16,bfloat16,3,0.05186666548252106
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,2,1,4,1,128,1,bfloat16,bfloat16,4095,0.009050666665037474
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,128,1,8,8,128,1,bfloat16,bfloat16,255,0.028677334388097126
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,4,1,64,8,128,1,bfloat16,bfloat16,2047,0.010645333677530289
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,64,1,12,4,128,1,bfloat16,bfloat16,31,0.009194666519761086
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,8,1,32,4,256,1,bfloat16,bfloat16,2047,0.013194666554530462
VLLM,0.20.0,NVIDIA GB200,generation_attention,vllm_flashinfer,1,1,8,2,256,1,bfloat16,bfloat16,16383,0.015050667027632395
