framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,1,4096,1024,10,512,1,2,power_law_1.01,0.08675839900970458
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,2,4096,1024,10,512,1,2,power_law_1.01,0.09488000273704529
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,4,4096,1024,10,512,1,2,power_law_1.01,0.13829760551452636
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1,7168,2048,8,384,1,8,power_law_1.01,0.0244159996509552
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,8,4096,1024,10,512,1,2,power_law_1.01,0.2556351900100708
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,2,7168,2048,8,384,1,8,power_law_1.01,0.024320000410079957
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,16,4096,1024,10,512,1,2,power_law_1.01,0.43645439147949217
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,4,7168,2048,8,384,1,8,power_law_1.01,0.02922239899635315
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8,7168,2048,8,384,1,8,power_law_1.01,0.059334397315979004
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1,7168,2048,8,384,8,1,power_law_1.01,0.02375040054321289
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,32,4096,1024,10,512,1,2,power_law_1.01,0.6458687782287598
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,2,7168,2048,8,384,8,1,power_law_1.01,0.025407999753952026
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,16,7168,2048,8,384,1,8,power_law_1.01,0.08602880239486695
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,48,4096,1024,10,512,1,2,power_law_1.01,0.8914175987243652
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,4,7168,2048,8,384,8,1,power_law_1.01,0.031718400120735166
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,64,4096,1024,10,512,1,2,power_law_1.01,1.061023998260498
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8,7168,2048,8,384,8,1,power_law_1.01,0.05206400156021118
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,16,7168,2048,8,384,8,1,power_law_1.01,0.07668480277061462
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,80,4096,1024,10,512,1,2,power_law_1.01,1.2460607528686523
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,32,7168,2048,8,384,1,8,power_law_1.01,0.10837759971618652
