framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,1,1,1,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004070400074124336
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.003571199998259544
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,1,1,1,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0034464001655578613
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,2,1,2,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.0046847999095916745
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,2,1,2,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.00453759990632534
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.4261824131011963
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,2,1,2,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.004681599885225296
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,4,1,4,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004793599992990494
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,4,1,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004553600028157234
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,4,1,4,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.004678399860858917
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,8,1,8,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004816000163555145
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,8,1,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004694399982690811
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,8,1,8,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.004387199878692627
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,16,1,16,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004710400104522705
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,16,1,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004678399860858917
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,16,1,16,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.004483199864625931
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,32,1,32,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004790399968624115
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,32,1,32,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.0046720001846551895
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,32,1,32,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.004524800181388855
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,64,1,64,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.00615679994225502
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,64,1,64,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.004796800017356872
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,64,1,64,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004822399839758873
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,128,1,128,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006380800157785416
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,128,1,128,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.006665600091218948
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,128,1,128,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.006563200056552887
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,256,1,256,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.008444800227880477
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,256,1,256,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.008544000238180161
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,256,1,256,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.007388799637556076
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,512,1,512,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.010815999656915664
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,512,1,512,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.010892800241708755
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,512,1,512,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.010623999685049058
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,1024,1,1024,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.016313600540161132
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,1024,1,1024,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.014972800016403198
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,1,1,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.43355841636657716
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,1,1,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.4250976085662842
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_update,generation,1024,1,1024,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.01496639996767044
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,1,1,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.5555647850036621
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,1,1,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.027008000016212463
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,1,1,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.02707200050354004
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,2,2,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.4116511821746826
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,2,2,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.0249439999461174
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.024476799368858337
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,1,1,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.029148799180984498
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,2,2,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.46491518020629885
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,2,2,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.027014398574829103
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,2,2,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.695462417602539
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,2,2,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.02696000039577484
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,2,2,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.6643680095672607
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,2,2,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.027577599883079527
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,4,4,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.5114367961883545
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,4,4,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.027008000016212463
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,4,4,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.5254208087921143
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,4,4,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.027193599939346315
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,4,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.5148928165435791
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,4,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.026800000667572023
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,4,4,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.49608001708984373
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,4,4,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.02898559868335724
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,8,8,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.48917441368103026
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,8,8,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.6104544162750244
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,8,8,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.027011200785636902
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,8,8,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.029203200340270997
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,8,8,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.5353631973266602
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,8,8,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.02723200023174286
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,8,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.4269248008728027
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,8,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.027356800436973572
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,16,16,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.464902400970459
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,16,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.6707776069641114
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,16,16,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.027625599503517152
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,16,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.029164800047874452
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,16,16,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.4859615802764893
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,16,16,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.031004801392555237
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,16,16,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.5178624153137207
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,16,16,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.02929919958114624
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,32,32,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.48232321739196776
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,32,32,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.03326399922370911
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,32,32,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.4210976123809814
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,32,32,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.5190080165863037
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,32,32,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.03376320004463196
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,32,32,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.03118720054626465
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,32,32,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.431334400177002
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,32,32,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.035427200794219973
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,64,64,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.4286303997039795
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,64,64,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.03936960101127625
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,64,64,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.4190976142883301
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,64,64,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.5568160057067871
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,64,64,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.03922559916973114
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,64,64,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0395904004573822
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,64,64,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.4227712154388428
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,64,64,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.04149119853973389
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,128,128,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.41510400772094724
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,128,128,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.0414112001657486
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,128,128,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.43221440315246584
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,128,128,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.04132159948348999
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,128,128,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.431609582901001
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,128,128,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0415583997964859
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,128,128,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.4260863780975342
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,128,128,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.04344640076160431
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,256,256,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.4092671871185303
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,256,256,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.04755519926548004
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,256,256,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,1.4372447967529296
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,256,256,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.05176640152931213
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,256,256,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.4879456043243408
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,256,256,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.0436928004026413
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,256,256,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.6029856204986572
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,256,256,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.0521664023399353
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,512,512,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.48821120262145995
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,512,512,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.06196159720420837
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,512,512,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.46802239418029784
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,512,512,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.05579839944839478
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,512,512,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.5921247959136963
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,512,512,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0767520010471344
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,512,512,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.4742879867553711
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,512,512,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.07853440046310425
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,1024,1024,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.5779839992523194
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,1024,1024,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.0933184027671814
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,1024,1024,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,1.3553536415100098
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,1024,1024,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.13639039993286134
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,1024,1024,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.44818878173828125
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,1024,1024,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.42748160362243653
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,1024,1024,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.08503680229187012
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,1024,1024,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.1397696018218994
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,2048,2048,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.6037951946258545
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,2048,2048,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.17624640464782715
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,2048,2048,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.44269437789916993
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,2048,2048,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.263321590423584
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,2048,2048,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.6457087993621826
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,2048,2048,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.25753600597381593
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,2048,2048,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.48140802383422854
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,2048,2048,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.16146559715270997
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,4096,4096,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.6154079914093018
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,4096,4096,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.33164799213409424
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,4096,4096,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.590723180770874
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,4096,4096,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.49435839653015134
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,4096,4096,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.604585599899292
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,4096,4096,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.31694080829620364
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,4096,4096,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.6690400123596192
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,4096,4096,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.47977919578552247
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,8192,8192,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.5348800182342529
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,8192,8192,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.6714208126068115
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,8192,8192,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.6305791854858398
