phase,source,lane,group,kclass,start_us,dur_us
prefill_captured,golden,comm,comm,all_reduce,0.0,22.401
prefill_captured,golden,memory,backbone,elementwise,108.737,2.176
prefill_captured,golden,compute,backbone,dense_gemm,110.849,6.56
prefill_captured,golden,compute,backbone,dense_gemm,116.129,4.224
prefill_captured,golden,compute,backbone,dense_gemm,119.713,2.497
prefill_captured,golden,memory,backbone,elementwise,122.256,1.824
prefill_captured,golden,memory,backbone,gdn_mamba,124.721,5.568
prefill_captured,golden,memory,backbone,gdn_mamba,130.907,2.336
prefill_captured,golden,memory,backbone,elementwise,143.397,1.856
prefill_captured,golden,memory,backbone,elementwise,155.241,6.976
prefill_captured,golden,memory,backbone,elementwise,165.81,2.048
prefill_captured,golden,memory,backbone,elementwise,175.465,2.496
prefill_captured,golden,memory,backbone,gdn_mamba,221.106,2.144
prefill_captured,golden,memory,backbone,gdn_mamba,243.797,4.768
prefill_captured,golden,memory,backbone,elementwise,257.018,1.472
prefill_captured,golden,memory,backbone,gdn_mamba,271.3,13.184
prefill_captured,golden,memory,backbone,gdn_mamba,303.749,5.344
prefill_captured,golden,memory,backbone,gdn_mamba,334.995,10.016
prefill_captured,golden,memory,backbone,gdn_mamba,363.101,5.44
prefill_captured,golden,memory,backbone,elementwise,386.379,2.144
prefill_captured,golden,memory,backbone,elementwise,392.078,6.976
prefill_captured,golden,memory,backbone,elementwise,437.79,1.216
prefill_captured,golden,memory,backbone,elementwise,439.082,2.016
prefill_captured,golden,memory,backbone,elementwise,441.174,1.728
prefill_captured,golden,compute,backbone,dense_gemm,443.017,4.672
prefill_captured,golden,comm,comm,all_reduce,447.765,22.401
prefill_captured,golden,compute,moe,shared_expert,562.865,2.4
prefill_captured,golden,compute,backbone,dense_gemm,565.387,4.864
prefill_captured,golden,compute,backbone,dense_gemm,565.643,8.256
prefill_captured,golden,compute,moe,router,573.163,7.84
prefill_captured,golden,compute,moe,shared_expert,574.571,1.76
prefill_captured,golden,compute,backbone,dense_gemm,576.683,4.544
prefill_captured,golden,compute,backbone,dense_gemm,580.427,4.352
prefill_captured,golden,compute,moe,moe_gemm,581.067,43.649
prefill_captured,golden,compute,backbone,dense_gemm,618.636,3.776
