framework,version,device,op_name,kernel_source,dsa_dtype,num_heads,index_n_heads,index_topk,batch_size,isl,tp_size,step,latency
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,1,1,1,0.40668801466623944
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,3,1,1,0.40773332118988037
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,7,1,1,0.4069013198216756
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,15,1,1,0.4068693319956462
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,31,1,1,0.4084266821543376
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,63,1,1,0.4080746571222941
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,127,1,1,0.4060266812642415
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,255,1,1,0.4060800075531006
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,511,1,1,0.41021867593129474
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,1023,1,1,0.40670935312906903
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,2047,1,1,0.4119253158569336
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,4095,1,1,0.41921067237854004
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,8191,1,1,0.4241280158360799
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,16383,1,1,0.4345173438390096
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,32767,1,1,0.45826133092244464
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1,65535,1,1,0.515391985575358
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,1,1,1,0.4169066747029622
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,3,1,1,0.4121280113855998
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,7,1,1,0.4121919870376587
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,15,1,1,0.41229867935180664
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,31,1,1,0.41262932618459064
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,63,1,1,0.4121919870376587
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,127,1,1,0.41172266006469727
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,255,1,1,0.4129706621170044
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,511,1,1,0.41311999162038165
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,1023,1,1,0.4152533213297526
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,2047,1,1,0.4158613284428914
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,4095,1,1,0.42529066403706867
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,8191,1,1,0.4307839870452881
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,16383,1,1,0.440341313680013
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,2,32767,1,1,0.4661866823832194
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,1,1,1,0.41521068414052326
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,3,1,1,0.4155199925104777
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,7,1,1,0.4149973392486572
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,15,1,1,0.4150933424631755
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,31,1,1,0.4149973392486572
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,63,1,1,0.4160746733347575
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,127,1,1,0.41468799114227295
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,255,1,1,0.4156479835510254
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,511,1,1,0.4166293144226074
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,1023,1,1,0.4179840087890625
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,2047,1,1,0.41778135299682617
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,4095,1,1,0.4293760061264038
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,8191,1,1,0.4351786772410075
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,4,16383,1,1,0.44675199190775555
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,1,1,1,0.42451198895772296
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,3,1,1,0.4230186541875203
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,7,1,1,0.42529066403706867
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,15,1,1,0.42556798458099365
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,31,1,1,0.45285332202911377
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,63,1,1,0.42404266198476154
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,127,1,1,0.4243199825286865
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,255,1,1,0.42505598068237305
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,511,1,1,0.4253653287887573
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,1023,1,1,0.42610132694244385
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,2047,1,1,0.42902398109436035
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,4095,1,1,0.44300798575083417
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,8,8191,1,1,0.44867201646169025
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,1,1,1,0.4329386552174886
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,3,1,1,0.4331626494725545
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,7,1,1,0.4323519865671794
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,15,1,1,0.43271466096242267
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,31,1,1,0.43195732434590656
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,63,1,1,0.43352532386779785
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,127,1,1,0.4322880109151204
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,255,1,1,0.43458131949106854
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,511,1,1,0.43298133214314777
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,1023,1,1,0.4331093231836955
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,2047,1,1,0.43933868408203125
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,16,4095,1,1,0.4525546630223592
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,1,1,1,0.4568106730779012
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,3,1,1,0.45524267355600995
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,7,1,1,0.4559679826100667
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,15,1,1,0.45573333899180096
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,31,1,1,0.45575467745463055
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,63,1,1,0.4545066754023234
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,127,1,1,0.4532800118128459
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,255,1,1,0.4538453420003255
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,511,1,1,0.45480533440907794
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,1023,1,1,0.4577386776606242
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,32,2047,1,1,0.46301865577697754
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,1,1,1,0.8033599853515625
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,3,1,1,0.8038187026977539
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,7,1,1,0.8042240142822266
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,15,1,1,0.8037333488464355
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,31,1,1,0.8048853079477946
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,63,1,1,0.8034773667653402
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,127,1,1,0.80294402440389
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,255,1,1,0.8067306677500407
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,511,1,1,0.8090666929880778
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,1023,1,1,0.8157760302225748
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,1,1,1,1.5276800791422527
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,3,1,1,1.527882734934489
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,7,1,1,1.5300374031066895
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,15,1,1,1.529930591583252
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,31,1,1,1.5298560460408528
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,63,1,1,1.5296640396118164
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,127,1,1,1.5320213635762532
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,255,1,1,1.5345066388448079
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,511,1,1,1.5400853157043457
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,1,1,1,2.7368319829305015
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,3,1,1,2.7378880182902017
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,7,1,1,2.7373441060384116
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,15,1,1,2.7394774754842124
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,31,1,1,2.7374614079793296
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,63,1,1,2.7371412913004556
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,127,1,1,2.7390613555908203
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,255,1,1,2.7420479456583657
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,1,1,1,5.366357167561849
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,3,1,1,5.3578236897786455
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,7,1,1,5.353696187337239
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,15,1,1,5.358751932779948
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,31,1,1,5.358389536539714
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,63,1,1,5.357333501180013
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,127,1,1,5.359594980875651
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1024,1,1,1,10.389994939168295
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1024,3,1,1,10.390207926432291
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1024,7,1,1,10.387594858805338
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1024,15,1,1,10.392416000366211
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1024,31,1,1,10.397002538045248
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1024,63,1,1,10.390560150146484
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,2047,1,1,0.8273920218149821
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,4095,1,1,0.8437120119730631
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,8191,1,1,0.8669546445210775
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,16383,1,1,0.9041386445363363
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,32767,1,1,0.9943573474884033
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,65535,1,1,1.1793386936187744
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,64,131071,1,1,1.5387946764628093
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,2047,1,1,1.5717333157857258
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,4095,1,1,1.5959253311157227
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,8191,1,1,1.63481601079305
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,16383,1,1,1.7114346822102864
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,32767,1,1,1.8727679252624512
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,65535,1,1,2.185194651285807
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,128,131071,1,1,2.8817599614461265
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,2047,1,1,2.8152106602986655
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,4095,1,1,2.8660799662272134
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,8191,1,1,2.9448105494181314
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,16383,1,1,3.1070079803466797
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,32767,1,1,3.4151252110799155
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,256,65535,1,1,4.044480005900065
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,2047,1,1,5.5087890625
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,4095,1,1,5.591381072998047
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,8191,1,1,5.754858652750651
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,16383,1,1,6.058602650960286
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,512,32767,1,1,6.66590944925944
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1024,2047,1,1,10.66545041402181
TRTLLM,1.2.0rc5,NVIDIA H20-3e,dsa_generation,default,bfloat16,128,64,2048,1024,4095,1,1,10.855743408203125
