index,model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system
0,DEEPSEEK_V3,2048,128,0,448,11.871,448,448,1311.052,294.048,38655.14,11.871,1.484,1507.607,188.451,3.401,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,122.004,0.875,4,444,8636,8192,444,trtllm,1.2.0rc2,h200_sxm
1,DEEPSEEK_V3,2048,128,0,416,11.767,416,416,1303.034,275.009,36229.134,11.767,1.471,1494.398,186.8,3.636,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,119.719,0.812,4,412,8604,8192,412,trtllm,1.2.0rc2,h200_sxm
2,DEEPSEEK_V3,2048,128,0,384,11.653,384,384,1295.016,255.851,33788.127,11.653,1.457,1479.941,184.993,3.909,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,117.435,0.75,4,380,8572,8192,380,trtllm,1.2.0rc2,h200_sxm
3,DEEPSEEK_V3,2048,128,0,352,11.521,352,352,1286.998,236.691,31346.74,11.521,1.44,1463.229,182.904,4.225,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,115.15,0.688,4,348,8540,8192,348,trtllm,1.2.0rc2,h200_sxm
4,DEEPSEEK_V3,2048,128,0,320,11.371,320,320,1278.979,217.458,28896.2,11.371,1.421,1444.129,180.516,4.599,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,112.866,0.625,4,316,8508,8192,316,trtllm,1.2.0rc2,h200_sxm
5,DEEPSEEK_V3,2048,128,0,288,11.196,288,288,1270.961,198.159,26437.098,11.196,1.4,1421.916,177.739,5.046,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,110.581,0.562,4,284,8476,8192,284,trtllm,1.2.0rc2,h200_sxm
6,DEEPSEEK_V3,2048,128,0,256,11.031,256,256,725.215,181.304,23750.79,11.031,1.379,1400.964,175.12,5.516,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,107.531,1.0,2,254,4350,4096,254,trtllm,1.2.0rc2,h200_sxm
7,DEEPSEEK_V3,2048,128,0,256,10.988,256,256,1262.951,178.808,23971.525,10.988,1.373,1395.474,174.434,5.593,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,108.296,0.5,4,252,8444,8192,252,trtllm,1.2.0rc2,h200_sxm
8,DEEPSEEK_V3,2048,128,0,240,10.909,240,240,720.718,171.682,22524.372,10.909,1.364,1385.402,173.175,5.825,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,106.389,0.938,2,238,4334,4096,238,trtllm,1.2.0rc2,h200_sxm
9,DEEPSEEK_V3,2048,128,0,240,10.855,240,240,1258.976,169.315,22762.011,10.855,1.357,1378.647,172.331,5.906,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,107.154,0.469,4,236,8428,8192,236,trtllm,1.2.0rc2,h200_sxm
10,DEEPSEEK_V3,2048,128,0,224,10.763,224,224,716.72,162.201,21316.188,10.763,1.345,1366.864,170.858,6.165,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,105.247,0.875,2,222,4318,4096,222,trtllm,1.2.0rc2,h200_sxm
11,DEEPSEEK_V3,2048,128,0,224,10.707,224,224,1255.0,159.83,21553.388,10.707,1.338,1359.848,169.981,6.257,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,106.012,0.438,4,220,8412,8192,220,trtllm,1.2.0rc2,h200_sxm
12,DEEPSEEK_V3,2048,128,0,208,10.598,208,208,712.723,152.733,20109.875,10.598,1.325,1345.954,168.244,6.547,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,104.104,0.812,2,206,4302,4096,206,trtllm,1.2.0rc2,h200_sxm
13,DEEPSEEK_V3,2048,128,0,208,10.541,208,208,1251.025,150.351,20345.655,10.541,1.318,1338.726,167.341,6.651,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,104.87,0.406,4,204,8396,8192,204,trtllm,1.2.0rc2,h200_sxm
14,DEEPSEEK_V3,2048,128,0,192,10.411,192,192,708.725,143.281,18905.431,10.411,1.301,1322.222,165.278,6.979,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,102.962,0.75,2,190,4286,4096,190,trtllm,1.2.0rc2,h200_sxm
15,DEEPSEEK_V3,2048,128,0,192,10.353,192,192,1247.049,140.88,19138.812,10.353,1.294,1314.835,164.354,7.098,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,103.727,0.375,4,188,8380,8192,188,trtllm,1.2.0rc2,h200_sxm
16,DEEPSEEK_V3,2048,128,0,176,10.217,176,176,704.728,133.579,17669.214,10.217,1.277,1297.583,162.198,7.486,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,101.82,0.688,2,174,4270,4096,174,trtllm,1.2.0rc2,h200_sxm
17,DEEPSEEK_V3,2048,128,0,176,10.179,176,176,1243.074,130.859,17862.208,10.179,1.272,1292.791,161.599,7.642,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,102.585,0.344,4,172,8364,8192,172,trtllm,1.2.0rc2,h200_sxm
18,DEEPSEEK_V3,2048,128,0,160,10.001,160,160,700.73,123.785,16421.409,10.001,1.25,1270.107,158.763,8.079,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,100.678,0.625,2,158,4254,4096,158,trtllm,1.2.0rc2,h200_sxm
19,DEEPSEEK_V3,2048,128,0,160,9.982,160,160,1192.632,120.793,16533.299,9.982,1.248,1267.749,158.469,8.279,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,101.443,0.312,4,156,8348,8192,156,trtllm,1.2.0rc2,h200_sxm
20,DEEPSEEK_V3,2048,128,0,144,9.779,144,144,1127.049,110.395,15147.154,9.779,1.222,1241.914,155.239,9.058,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,100.301,0.281,4,140,8332,8192,140,trtllm,1.2.0rc2,h200_sxm
21,DEEPSEEK_V3,2048,128,0,128,9.542,128,128,1061.949,99.933,13753.392,9.542,1.193,1211.777,151.472,10.007,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,99.158,0.25,4,124,8316,8192,124,trtllm,1.2.0rc2,h200_sxm
22,DEEPSEEK_V3,2048,128,0,112,9.141,112,112,997.477,90.649,12509.888,9.141,1.143,1160.967,145.121,11.032,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,98.016,0.219,4,108,8300,8192,108,trtllm,1.2.0rc2,h200_sxm
23,DEEPSEEK_V3,2048,128,0,96,8.655,96,96,933.363,81.387,11269.518,8.655,1.082,1099.226,137.403,12.287,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,96.874,0.188,4,92,8284,8192,92,trtllm,1.2.0rc2,h200_sxm
24,DEEPSEEK_V3,2048,128,0,80,8.134,80,80,869.608,71.357,9931.895,8.134,1.017,1033.05,129.131,14.014,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,95.731,0.156,4,76,8268,8192,76,trtllm,1.2.0rc2,h200_sxm
25,DEEPSEEK_V3,2048,128,0,64,7.311,64,64,806.096,62.728,8772.519,7.311,0.914,928.54,116.067,15.942,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,94.589,0.125,4,60,8252,8192,60,trtllm,1.2.0rc2,h200_sxm
26,DEEPSEEK_V3,2048,128,0,56,7.013,56,56,774.315,56.593,7961.669,7.013,0.877,890.656,111.332,17.67,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,94.018,0.109,4,52,8244,8192,52,trtllm,1.2.0rc2,h200_sxm
27,DEEPSEEK_V3,2048,128,0,48,6.656,48,48,742.642,50.414,7145.184,6.656,0.832,845.367,105.671,19.836,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,93.447,0.094,4,44,8236,8192,44,trtllm,1.2.0rc2,h200_sxm
28,DEEPSEEK_V3,2048,128,0,40,6.246,40,40,711.075,43.974,6295.812,6.246,0.781,793.187,99.148,22.741,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,92.876,0.078,4,36,8228,8192,36,trtllm,1.2.0rc2,h200_sxm
29,DEEPSEEK_V3,2048,128,0,32,5.739,32,32,679.609,37.361,5424.472,5.739,0.717,728.8,91.1,26.766,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,92.305,0.062,4,28,8220,8192,28,trtllm,1.2.0rc2,h200_sxm
30,DEEPSEEK_V3,2048,128,0,28,5.427,28,28,663.912,34.035,4986.337,5.427,0.678,689.189,86.149,29.382,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,92.019,0.055,4,24,8216,8192,24,trtllm,1.2.0rc2,h200_sxm
31,DEEPSEEK_V3,2048,128,0,24,5.062,24,24,648.243,30.694,4546.443,5.062,0.633,642.857,80.357,32.579,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,91.734,0.047,4,20,8212,8192,20,trtllm,1.2.0rc2,h200_sxm
32,DEEPSEEK_V3,2048,128,0,20,4.628,20,20,632.601,27.34,4104.79,4.628,0.579,587.796,73.475,36.576,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,91.448,0.039,4,16,8208,8192,16,trtllm,1.2.0rc2,h200_sxm
33,DEEPSEEK_V3,2048,128,0,16,4.106,16,16,616.965,23.953,3658.963,4.106,0.513,521.431,65.179,41.749,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,91.162,0.031,4,12,8204,8192,12,trtllm,1.2.0rc2,h200_sxm
34,DEEPSEEK_V3,2048,128,0,15,3.919,15,15,616.822,23.397,3588.187,3.919,0.49,497.748,62.219,42.741,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,91.091,0.029,4,11,8203,8192,11,trtllm,1.2.0rc2,h200_sxm
35,DEEPSEEK_V3,2048,128,0,14,3.726,14,14,616.678,22.84,3517.41,3.726,0.466,473.186,59.148,43.782,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,91.02,0.027,4,10,8202,8192,10,trtllm,1.2.0rc2,h200_sxm
36,DEEPSEEK_V3,2048,128,0,12,3.596,12,12,601.358,21.71,3358.554,3.596,0.45,456.719,57.09,46.061,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,90.877,0.023,4,8,8200,8192,8,trtllm,1.2.0rc2,h200_sxm
37,DEEPSEEK_V3,2048,128,0,12,3.568,12,12,485.647,21.218,3180.313,3.568,0.446,453.176,56.647,47.13,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,90.494,0.031,3,9,6153,6144,9,trtllm,1.2.0rc2,h200_sxm
38,DEEPSEEK_V3,2048,128,0,9,3.067,9,9,473.32,19.536,2954.375,3.067,0.383,389.459,48.682,51.188,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,90.28,0.023,3,6,6150,6144,6,trtllm,1.2.0rc2,h200_sxm
39,DEEPSEEK_V3,2048,128,0,8,2.885,8,8,585.623,19.472,3058.622,2.885,0.361,366.348,45.794,51.355,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,90.591,0.016,4,4,8196,8192,4,trtllm,1.2.0rc2,h200_sxm
40,DEEPSEEK_V3,2048,128,0,8,2.856,8,8,339.748,18.431,2680.535,2.856,0.357,362.713,45.339,54.255,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,89.826,0.031,2,6,4102,4096,6,trtllm,1.2.0rc2,h200_sxm
41,DEEPSEEK_V3,2048,128,0,7,2.515,7,7,339.563,18.295,2663.022,2.515,0.314,319.349,39.919,54.66,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,89.755,0.027,2,5,4101,4096,5,trtllm,1.2.0rc2,h200_sxm
42,DEEPSEEK_V3,2048,128,0,6,2.292,6,6,331.101,18.149,2636.034,2.292,0.286,291.075,36.384,55.099,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,89.683,0.023,2,4,4100,4096,4,trtllm,1.2.0rc2,h200_sxm
43,DEEPSEEK_V3,2048,128,0,5,1.923,5,5,331.022,18.013,2618.679,1.923,0.24,244.168,30.521,55.515,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,89.612,0.02,2,3,4099,4096,3,trtllm,1.2.0rc2,h200_sxm
44,DEEPSEEK_V3,2048,128,0,4,1.643,4,4,322.67,17.871,2592.297,1.643,0.205,208.616,26.077,55.956,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,89.54,0.016,2,2,4098,4096,2,trtllm,1.2.0rc2,h200_sxm
45,DEEPSEEK_V3,2048,128,0,4,1.606,4,4,215.492,17.407,2426.18,1.606,0.201,203.916,25.489,57.448,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,89.158,0.031,1,3,2051,2048,3,trtllm,1.2.0rc2,h200_sxm
46,DEEPSEEK_V3,2048,128,0,1,0.462,1,1,195.931,16.226,2256.604,0.462,0.058,58.693,7.337,61.63,8,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,float16,fp8_block,half,88.944,0.008,1,1,2048,2048,1,trtllm,1.2.0rc2,h200_sxm
