phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,12,15190136410644973976,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,1612.656
context,sweep,18,15190136410644973976,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,3697.769
context,sweep,19,15190136410644973976,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,83.059
context,sweep,20,15190136410644973976,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,115.965
context,sweep,21,15190136410644973976,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,36.124
context,sweep,22,15190136410644973976,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,75.204
context,sweep,23,15190136410644973976,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,36.364
context,sweep,24,15190136410644973976,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,76.017
context,sweep,25,15190136410644973976,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,116.012
context,sweep,26,15190136410644973976,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,35.560
context,sweep,27,15190136410644973976,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,123.875
context,sweep,28,15190136410644973976,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,36.196
context,sweep,29,15190136410644973976,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,75.445
context,sweep,30,15190136410644973976,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,115.761
context,sweep,36,15190136410644973976,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,113.073
decode,sweep,37,15190136410644973976,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,195.343
decode,sweep,38,15190136410644973976,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,9.828
decode,sweep,39,15190136410644973976,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,9.976
decode,sweep,40,15190136410644973976,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,9.965
decode,sweep,41,15190136410644973976,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,9.979
decode,sweep,42,15190136410644973976,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,9.894
