phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,12,15190136410644973976,0,128,1,0,0,0,0,0.000,0,0,0,0,1612.656
context,sweep,18,15190136410644973976,0,4096,1,0,0,0,0,0.000,0,0,0,0,3697.769
context,sweep,19,15190136410644973976,0,1024,1,0,0,0,0,0.000,0,0,0,0,83.059
context,sweep,20,15190136410644973976,0,4096,1,0,0,0,0,0.000,0,0,0,0,115.965
context,sweep,21,15190136410644973976,0,128,1,0,0,0,0,0.000,0,0,0,0,36.124
context,sweep,22,15190136410644973976,0,1024,1,0,0,0,0,0.000,0,0,0,0,75.204
context,sweep,23,15190136410644973976,0,128,1,0,0,0,0,0.000,0,0,0,0,36.364
context,sweep,24,15190136410644973976,0,1024,1,0,0,0,0,0.000,0,0,0,0,76.017
context,sweep,25,15190136410644973976,0,4096,1,0,0,0,0,0.000,0,0,0,0,116.012
context,sweep,26,15190136410644973976,0,128,1,0,0,0,0,0.000,0,0,0,0,35.560
context,sweep,27,15190136410644973976,0,4096,1,0,0,0,0,0.000,0,0,0,0,123.875
context,sweep,28,15190136410644973976,0,128,1,0,0,0,0,0.000,0,0,0,0,36.196
context,sweep,29,15190136410644973976,0,1024,1,0,0,0,0,0.000,0,0,0,0,75.445
context,sweep,30,15190136410644973976,0,4096,1,0,0,0,0,0.000,0,0,0,0,115.761
context,sweep,36,15190136410644973976,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.073
decode,sweep,37,15190136410644973976,0,0,0,0,1,1,4096,4096.000,0,0,0,0,195.343
decode,sweep,38,15190136410644973976,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.828
decode,sweep,39,15190136410644973976,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.976
decode,sweep,40,15190136410644973976,0,0,0,0,1,1,4099,4099.000,0,0,0,0,9.965
decode,sweep,41,15190136410644973976,0,0,0,0,1,1,4100,4100.000,0,0,0,0,9.979
decode,sweep,42,15190136410644973976,0,0,0,0,1,1,4101,4101.000,0,0,0,0,9.894
decode,sweep,43,15190136410644973976,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.106
context,sweep,49,15190136410644973976,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.958
decode,sweep,51,15190136410644973976,0,0,0,0,1,1,4096,4096.000,0,0,0,0,1462.000
decode,sweep,52,15190136410644973976,0,0,0,0,1,1,4097,4097.000,0,0,0,0,231.181
decode,sweep,53,15190136410644973976,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.732
decode,sweep,54,15190136410644973976,0,0,0,0,1,1,4099,4099.000,0,0,0,0,9.929
decode,sweep,55,15190136410644973976,0,0,0,0,1,1,4100,4100.000,0,0,0,0,9.933
decode,sweep,56,15190136410644973976,0,0,0,0,1,1,4101,4101.000,0,0,0,0,9.879
