workload_label,request_index,endpoint,target_isl,target_osl,prompt_tokens,max_tokens,prompt_token_mode,shape_source
context,0,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,1,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,2,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,3,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,4,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,5,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,6,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,7,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,8,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,9,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,10,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,11,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,12,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,13,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,14,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,15,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,16,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,17,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,18,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,19,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,20,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,21,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,22,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,23,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,24,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,25,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,26,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,27,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,28,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,29,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,30,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,31,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,32,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,33,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,34,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,35,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,36,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,37,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,38,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,39,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,40,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,41,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,42,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,43,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,44,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,45,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,46,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,47,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,48,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,49,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,50,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,51,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,52,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,53,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,54,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,55,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,56,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,57,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,58,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,59,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,60,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
