phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,14,11198987438912022232,0,128,1,0,0,0,0,0.000,0,0,0,0,1621.467
context,sweep,16,11198987438912022232,0,4096,1,0,0,0,0,0.000,0,0,0,0,195.673
context,sweep,17,11198987438912022232,0,1024,1,0,0,0,0,0.000,0,0,0,0,76.563
context,sweep,18,11198987438912022232,0,4096,1,0,0,0,0,0.000,0,0,0,0,122.713
context,sweep,19,11198987438912022232,0,128,1,0,0,0,0,0.000,0,0,0,0,33.576
context,sweep,20,11198987438912022232,0,128,1,0,0,0,0,0.000,0,0,0,0,33.211
context,sweep,21,11198987438912022232,0,1024,1,0,0,0,0,0.000,0,0,0,0,74.985
context,sweep,22,11198987438912022232,0,128,1,0,0,0,0,0.000,0,0,0,0,33.501
context,sweep,23,11198987438912022232,0,4096,1,0,0,0,0,0.000,0,0,0,0,131.603
context,sweep,24,11198987438912022232,0,128,1,0,0,0,0,0.000,0,0,0,0,33.969
context,sweep,25,11198987438912022232,0,1024,1,0,0,0,0,0.000,0,0,0,0,75.183
context,sweep,26,11198987438912022232,0,4096,1,0,0,0,0,0.000,0,0,0,0,124.420
context,sweep,33,11198987438912022232,0,4096,1,0,0,0,0,0.000,0,0,0,0,121.841
decode,sweep,34,11198987438912022232,0,0,0,0,1,1,4096,4096.000,0,0,0,0,187.584
decode,sweep,35,11198987438912022232,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.823
decode,sweep,36,11198987438912022232,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.883
decode,sweep,37,11198987438912022232,0,0,0,0,1,1,4099,4099.000,0,0,0,0,9.946
decode,sweep,38,11198987438912022232,0,0,0,0,1,1,4100,4100.000,0,0,0,0,9.870
decode,sweep,39,11198987438912022232,0,0,0,0,1,1,4101,4101.000,0,0,0,0,9.831
decode,sweep,40,11198987438912022232,0,0,0,0,1,1,4102,4102.000,0,0,0,0,9.748
context,sweep,47,11198987438912022232,0,4096,1,0,0,0,0,0.000,0,0,0,0,123.094
decode,sweep,49,11198987438912022232,0,0,0,0,1,1,4096,4096.000,0,0,0,0,1524.870
decode,sweep,50,11198987438912022232,0,0,0,0,1,1,4097,4097.000,0,0,0,0,244.927
decode,sweep,51,11198987438912022232,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.953
decode,sweep,52,11198987438912022232,0,0,0,0,1,1,4099,4099.000,0,0,0,0,9.982
decode,sweep,53,11198987438912022232,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.011
decode,sweep,54,11198987438912022232,0,0,0,0,1,1,4101,4101.000,0,0,0,0,9.965
decode,sweep,55,11198987438912022232,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.131
context,sweep,62,11198987438912022232,0,4096,1,0,0,0,0,0.000,0,0,0,0,122.645
decode,sweep,63,11198987438912022232,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,117.407
mixed,sweep,64,11198987438912022232,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,678.307
