num_context_tokens,num_decode_tokens,latency_ms
128,0,3061.172
4096,0,188.916
1024,0,77.656
4096,0,114.641
128,0,33.723
4096,0,122.367
4096,0,111.222
4096,0,122.820
128,0,33.659
4096,0,122.752
4096,0,113.337
0,1,199.646
0,1,10.003
0,1,10.093
0,1,10.132
0,1,10.031
0,1,10.073
0,1,10.154
4096,0,113.347
0,1,1490.368
0,1,271.659
0,1,9.801
0,1,10.049
0,1,10.094
0,1,10.037
0,1,10.257
4096,0,113.320
0,1,377.549
8191,1,632.207
4097,2,245.615
0,4,11.053
0,4,11.110
0,4,11.146
0,4,11.328
0,3,11.222
0,3,11.559
0,2,10.906
4096,0,112.798
0,1,9.976
0,1,10.048
0,1,10.066
0,1,10.147
0,1,10.077
0,1,10.047
0,1,10.159
4096,0,116.700
0,1,134.472
0,1,9.933
0,1,9.955
0,1,9.878
0,1,10.084
0,1,10.002
0,1,10.191
4096,0,113.565
0,1,238.191
8191,1,257.975
4097,2,108.862
0,4,11.060
0,4,11.020
0,4,11.116
0,4,11.276
0,3,11.137
0,3,11.641
0,2,10.865
4096,0,111.595
0,1,9.979
0,1,10.017
0,1,10.061
0,1,10.128
0,1,10.026
0,1,10.046
0,1,10.075
4096,0,113.406
0,1,134.580
0,1,10.244
0,1,9.935
0,1,10.139
0,1,10.070
0,1,10.099
0,1,10.144
4096,0,112.950
0,1,238.138
8191,1,257.798
4097,2,108.854
0,4,11.156
0,4,11.235
0,4,11.226
0,4,11.485
0,3,11.453
0,3,11.721
0,2,10.906
4096,0,112.700
0,1,9.997
0,1,9.993
0,1,10.036
0,1,10.123
0,1,10.035
0,1,10.056
0,1,10.095
4096,0,149.869
0,1,9.919
0,1,9.827
0,1,9.779
0,1,10.103
0,1,9.983
0,1,10.026
0,1,10.068
4096,0,118.954
0,1,238.177
8191,1,252.393
4097,2,126.874
0,4,13.306
0,4,13.655
0,4,13.168
0,4,13.565
0,3,13.357
0,3,11.713
0,2,12.581
4096,0,111.879
0,1,9.917
0,1,10.000
0,1,10.055
0,1,10.111
0,1,10.009
0,1,10.085
0,1,10.085
4096,0,112.102
0,1,134.492
0,1,10.263
0,1,10.089
0,1,10.055
0,1,10.095
0,1,10.067
0,1,10.180
4096,0,114.306
0,1,237.981
8191,1,257.976
4097,2,109.072
0,4,10.998
0,4,10.972
0,4,11.045
0,4,11.231
0,3,11.013
0,3,11.486
0,2,10.877
4096,0,113.603
0,1,10.018
0,1,9.977
0,1,10.012
0,1,10.067
0,1,9.981
0,1,10.023
0,1,10.085
4096,0,113.703
0,1,134.623
0,1,10.189
0,1,9.927
0,1,9.982
0,1,10.105
0,1,9.967
0,1,10.091
4096,0,113.835
0,1,238.159
8191,1,249.586
4097,2,124.017
0,4,13.213
0,4,13.439
0,4,13.568
0,4,13.486
0,3,13.417
0,3,11.710
0,2,12.803
4096,0,110.475
0,1,10.124
0,1,9.890
256,0,34.414
0,1,10.247
0,1,9.944
256,0,33.885
0,1,10.080
0,1,9.902
2048,0,147.509
0,1,269.212
8191,1,258.735
8189,3,216.994
4,7,39.969
0,8,16.609
0,8,14.542
0,8,14.607
0,8,14.631
0,8,14.658
0,8,14.662
0,8,14.746
0,8,14.646
0,8,14.767
0,8,14.807
0,8,14.778
0,8,14.641
0,8,14.818
0,8,14.822
0,8,14.863
0,8,14.890
0,8,14.864
0,8,14.939
0,8,14.917
0,8,14.783
0,8,14.840
0,8,14.922
0,8,14.873
0,8,14.877
0,8,14.896
0,8,14.866
0,8,14.950
0,7,14.849
0,7,13.524
0,5,107.842
6144,1,320.591
3072,3,297.610
6144,5,294.894
0,7,169.435
0,7,17.989
0,7,14.578
0,7,14.643
0,7,14.721
0,7,14.809
0,7,14.860
0,7,14.910
0,7,14.768
0,7,14.851
0,7,14.863
0,7,14.888
0,7,14.859
0,7,15.005
0,7,14.972
0,7,14.985
0,7,14.944
0,7,14.996
0,7,15.123
0,7,14.984
0,7,15.029
0,7,15.096
0,7,15.095
0,7,15.120
0,7,15.027
0,7,15.083
0,7,15.080
0,7,14.951
0,7,13.520
0,4,13.499
0,2,11.653
