phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,14,9242928653772033172,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,3061.172
context,sweep,16,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,188.916
context,sweep,17,9242928653772033172,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,77.656
context,sweep,18,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,114.641
context,sweep,19,9242928653772033172,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,33.723
context,sweep,20,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,122.367
context,sweep,22,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,111.222
context,sweep,23,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,122.820
context,sweep,24,9242928653772033172,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,33.659
context,sweep,25,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,122.752
context,sweep,31,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,113.337
decode,sweep,32,9242928653772033172,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,199.646
decode,sweep,33,9242928653772033172,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,10.003
decode,sweep,34,9242928653772033172,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,10.093
decode,sweep,35,9242928653772033172,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,10.132
decode,sweep,36,9242928653772033172,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,10.031
decode,sweep,37,9242928653772033172,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,10.073
decode,sweep,38,9242928653772033172,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.154
context,sweep,44,9242928653772033172,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,113.347
decode,sweep,46,9242928653772033172,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,1490.368
decode,sweep,47,9242928653772033172,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,271.659
decode,sweep,48,9242928653772033172,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,9.801
decode,sweep,49,9242928653772033172,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,10.049
