phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,14,9242928653772033172,0,128,1,0,0,0,0,0.000,0,0,0,0,3061.172
context,sweep,16,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,188.916
context,sweep,17,9242928653772033172,0,1024,1,0,0,0,0,0.000,0,0,0,0,77.656
context,sweep,18,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,114.641
context,sweep,19,9242928653772033172,0,128,1,0,0,0,0,0.000,0,0,0,0,33.723
context,sweep,20,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,122.367
context,sweep,22,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,111.222
context,sweep,23,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,122.820
context,sweep,24,9242928653772033172,0,128,1,0,0,0,0,0.000,0,0,0,0,33.659
context,sweep,25,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,122.752
context,sweep,31,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.337
decode,sweep,32,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,199.646
decode,sweep,33,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.003
decode,sweep,34,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.093
decode,sweep,35,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.132
decode,sweep,36,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.031
decode,sweep,37,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.073
decode,sweep,38,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.154
context,sweep,44,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.347
decode,sweep,46,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,1490.368
decode,sweep,47,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,271.659
decode,sweep,48,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.801
decode,sweep,49,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.049
decode,sweep,50,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.094
decode,sweep,51,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.037
decode,sweep,52,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.257
context,sweep,59,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.320
decode,sweep,60,9242928653772033172,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,377.549
mixed,sweep,61,9242928653772033172,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,632.207
mixed,sweep,62,9242928653772033172,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,245.615
decode,sweep,63,9242928653772033172,0,0,0,0,4,4,16388,4097.000,0,0,0,0,11.053
decode,sweep,64,9242928653772033172,0,0,0,0,4,4,16392,4098.000,0,0,0,0,11.110
decode,sweep,65,9242928653772033172,0,0,0,0,4,4,16396,4099.000,0,0,0,0,11.146
decode,sweep,66,9242928653772033172,0,0,0,0,4,4,16400,4100.000,0,0,0,0,11.328
decode,sweep,67,9242928653772033172,0,0,0,0,3,3,12301,4100.333,0,0,0,0,11.222
decode,sweep,68,9242928653772033172,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.559
decode,sweep,69,9242928653772033172,0,0,0,0,2,2,8204,4102.000,0,0,0,0,10.906
context,sweep,75,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,112.798
