num_context_tokens,num_decode_tokens,latency_ms
128,0,1667.648
4096,0,181.676
1024,0,80.512
4096,0,114.437
128,0,32.575
4096,0,121.645
128,0,33.744
1024,0,74.080
4096,0,114.423
128,0,32.723
4096,0,121.307
128,0,32.883
1024,0,73.010
4096,0,112.316
0,1,197.227
0,1,9.845
0,1,9.939
0,1,9.952
0,1,9.911
0,1,9.893
0,1,10.038
4096,0,111.605
0,1,1451.395
0,1,233.063
0,1,10.147
0,1,10.077
0,1,10.089
0,1,10.070
0,1,10.270
4096,0,113.446
0,1,106.415
8191,1,609.212
4097,2,716.152
0,4,360.487
0,4,153.465
0,4,16.590
0,4,13.693
0,3,13.426
0,3,11.642
0,2,11.675
4096,0,113.341
0,1,10.002
0,1,10.059
0,1,10.140
0,1,10.139
0,1,10.056
0,1,10.098
0,1,10.220
4096,0,113.444
0,1,134.165
0,1,10.205
0,1,10.076
0,1,10.072
0,1,10.103
0,1,10.080
0,1,10.244
4096,0,115.566
0,1,245.889
8191,1,212.239
4097,2,225.853
0,4,22.190
0,4,13.337
0,4,13.344
0,4,13.593
0,3,13.260
0,3,11.801
0,2,10.848
4096,0,113.711
0,1,9.995
0,1,9.998
0,1,10.059
0,1,10.129
0,1,10.085
0,1,10.007
0,1,10.158
4096,0,112.523
0,1,134.246
0,1,10.252
0,1,9.976
0,1,10.107
0,1,10.164
0,1,10.127
0,1,10.169
4096,0,112.765
0,1,105.761
8191,1,235.880
4097,2,274.354
0,4,109.721
0,4,11.571
0,4,11.369
0,4,11.690
0,3,11.426
0,3,11.675
0,2,11.738
4096,0,113.077
0,1,9.947
0,1,10.029
0,1,10.037
0,1,10.111
0,1,10.025
0,1,10.063
0,1,10.195
4096,0,113.792
0,1,133.938
0,1,10.032
0,1,10.146
0,1,10.022
0,1,10.090
0,1,10.023
0,1,10.098
4096,0,113.366
0,1,208.725
8191,1,210.090
4097,2,266.642
0,4,110.078
0,4,13.653
0,4,13.438
0,4,13.514
0,3,13.336
0,3,11.784
0,2,11.642
4096,0,113.654
0,1,9.944
0,1,10.004
0,1,9.980
0,1,10.077
0,1,10.028
0,1,10.022
0,1,10.114
4096,0,112.992
0,1,134.159
0,1,10.130
0,1,10.061
0,1,10.018
0,1,10.111
0,1,10.015
0,1,10.180
4096,0,114.323
0,1,181.384
8191,1,235.695
4097,2,239.812
0,4,109.338
0,4,13.564
0,4,13.524
0,4,13.682
0,3,13.489
0,3,11.619
0,2,11.766
4096,0,113.356
0,1,10.019
0,1,9.997
0,1,10.121
0,1,10.113
0,1,10.066
0,1,10.120
0,1,10.167
4096,0,113.052
0,1,134.163
0,1,9.960
0,1,9.930
0,1,9.954
0,1,9.933
0,1,9.769
0,1,9.961
4096,0,113.557
0,1,106.228
4096,1,295.743
8190,2,264.972
2,3,183.316
0,4,22.080
0,4,13.447
0,4,13.608
0,3,13.369
0,3,11.608
0,2,11.615
0,1,13.141
1024,0,81.084
0,1,12.884
0,1,9.856
0,1,9.885
0,1,9.944
0,1,9.882
0,1,9.849
0,1,9.881
0,1,9.950
0,1,9.907
0,1,9.870
0,1,9.900
0,1,9.968
0,1,9.863
0,1,9.901
0,1,9.915
0,1,9.959
0,1,9.900
0,1,9.916
0,1,9.914
0,1,10.064
0,1,154.767
0,1,240.866
8191,1,307.066
5121,6,275.059
0,8,21.660
0,8,12.695
0,8,12.788
0,8,12.807
0,8,12.663
0,8,12.778
0,8,12.828
0,7,12.986
0,7,12.808
4096,7,108.714
0,8,12.683
0,8,12.958
0,8,12.969
0,8,12.993
0,8,12.861
0,8,12.886
0,8,12.837
0,8,13.015
0,8,12.888
0,8,13.055
0,8,13.094
0,8,13.284
0,8,13.028
0,8,13.102
0,8,13.014
0,8,13.008
0,8,13.156
0,8,13.130
0,8,13.224
0,8,14.138
1024,3,133.634
4096,2,341.262
7168,3,227.424
7168,6,251.543
0,9,176.389
0,9,18.121
0,9,14.474
0,9,14.500
0,9,14.597
0,9,14.628
0,9,14.715
0,8,14.436
0,8,14.512
0,8,14.555
0,8,14.491
0,8,14.507
0,8,14.628
0,8,14.616
0,8,14.624
0,8,14.634
0,8,14.578
0,8,14.627
0,8,14.628
0,8,14.607
0,8,14.679
0,8,14.698
0,8,14.750
0,8,14.816
0,8,14.804
0,8,14.807
0,8,14.790
0,8,14.831
0,7,14.820
0,6,13.511
0,3,13.431
8192,0,195.613
4233,0,282.120
8191,1,244.017
8191,1,271.968
8191,1,315.844
8186,6,221.909
4520,7,124.239
0,8,18.855
0,8,12.945
0,8,12.980
0,8,18.829
0,8,12.990
0,8,18.984
0,8,13.072
0,8,19.236
0,8,13.280
0,8,19.160
0,8,19.181
0,8,13.159
0,8,13.264
0,8,13.200
0,8,19.162
0,8,13.266
0,8,19.319
0,8,13.190
0,8,19.436
0,8,13.322
0,8,19.229
0,8,13.343
0,8,19.286
0,8,19.440
0,8,19.321
0,8,19.332
0,8,13.455
0,8,19.411
0,8,13.422
0,8,13.445
0,8,13.460
0,8,13.482
0,8,13.384
0,8,13.582
0,8,13.582
0,8,13.443
0,8,13.566
0,8,13.523
0,8,13.501
0,8,13.449
0,8,13.536
0,8,13.498
0,8,13.489
0,8,19.366
0,8,13.539
0,8,13.626
0,8,13.606
0,8,13.551
0,8,13.602
0,8,13.695
0,8,19.450
0,8,13.530
0,8,13.611
0,8,13.584
0,8,13.569
0,8,19.574
0,8,13.550
0,8,13.610
0,8,13.645
0,8,13.608
0,8,13.602
0,8,13.609
0,8,13.727
0,8,13.507
0,8,13.645
0,8,13.702
0,8,19.564
0,8,13.615
0,8,13.632
0,8,13.620
0,8,13.569
0,8,13.600
0,8,13.593
0,8,13.555
0,8,13.718
0,8,13.589
0,8,13.654
0,8,13.574
0,8,13.606
0,8,13.519
0,8,19.771
0,8,13.670
0,8,13.503
0,8,13.586
0,8,13.683
0,8,13.642
0,8,13.647
0,8,13.592
0,8,13.609
0,8,13.678
0,8,13.628
0,8,13.576
0,8,13.574
0,8,13.612
0,8,13.584
0,8,13.611
0,8,14.016
8186,6,191.044
1255,6,136.698
293,7,108.028
8184,8,191.401
1530,8,132.854
0,9,16.822
0,9,14.957
0,9,21.085
0,9,32.226
0,9,15.164
0,8,13.420
0,8,13.658
0,8,33.310
0,8,139.343
0,8,17.716
0,8,15.136
0,7,20.503
0,7,20.776
0,7,133.432
0,7,17.274
0,7,13.295
0,7,19.274
197,7,29.275
0,8,13.210
0,8,13.430
0,8,13.341
0,8,19.254
0,8,13.440
0,8,19.445
0,8,13.320
0,8,13.387
0,8,13.439
0,8,19.388
0,8,14.193
1895,8,131.295
0,9,16.750
0,9,27.281
0,9,14.891
0,9,14.661
0,9,14.893
0,9,20.768
0,9,20.927
0,9,14.804
0,9,14.938
0,9,14.806
0,9,20.721
0,9,14.899
0,9,20.904
0,9,14.892
0,9,21.014
0,9,14.819
0,9,20.752
0,9,14.829
0,9,14.830
0,9,20.601
0,9,20.678
0,9,14.859
0,9,14.896
0,9,20.904
0,9,20.915
0,9,14.864
0,9,14.882
0,9,14.929
0,9,20.803
0,9,14.916
0,9,14.866
0,9,14.966
0,9,14.896
0,9,14.907
0,9,14.986
0,9,14.872
0,9,15.085
0,8,13.421
0,8,13.457
0,8,190.917
0,8,106.249
0,8,13.545
0,8,13.377
0,8,13.591
0,8,14.303
2595,8,139.788
0,9,20.774
0,9,14.887
0,9,20.892
0,9,15.025
0,9,14.885
0,9,20.929
0,9,14.994
0,9,20.811
0,9,14.854
0,9,14.927
0,9,14.904
0,9,20.849
0,9,21.166
0,9,14.947
0,9,14.892
0,9,14.907
0,9,14.848
0,9,14.908
0,9,14.894
0,9,14.877
0,9,14.832
0,9,14.891
0,9,14.922
0,9,15.038
0,9,14.859
0,9,14.950
0,9,14.875
0,9,14.994
0,9,14.936
0,9,134.182
0,9,23.465
0,9,14.767
0,9,14.842
0,9,14.855
0,9,14.832
0,9,14.924
0,9,14.802
0,9,20.880
0,9,14.839
0,9,14.888
0,9,14.861
0,9,14.761
0,9,14.937
0,9,14.834
0,9,14.849
0,9,14.872
0,9,14.926
0,9,14.933
0,9,14.853
0,9,20.796
0,9,20.678
0,9,14.895
0,9,14.891
0,9,14.890
0,9,14.863
0,9,20.900
0,9,14.861
0,9,14.867
0,9,14.911
0,9,14.781
0,9,14.915
0,9,14.838
0,8,13.535
0,8,13.513
0,8,134.887
0,8,22.471
0,8,13.556
239,8,30.262
0,9,20.726
0,9,14.921
0,9,14.849
0,9,14.876
0,9,14.968
0,9,20.894
0,9,14.926
0,9,20.903
0,9,14.782
0,9,14.834
0,9,14.892
0,9,20.848
0,9,14.879
0,9,21.086
0,9,14.635
0,9,14.900
0,9,20.886
0,9,14.865
0,9,14.950
0,9,20.845
0,9,14.942
0,9,14.879
0,9,14.912
0,9,14.882
0,9,21.092
0,9,14.967
0,9,20.995
0,9,20.859
0,9,21.038
0,9,14.956
0,9,20.880
0,8,13.399
0,8,13.692
0,8,26.236
0,8,15.106
0,8,13.497
0,8,13.443
0,8,19.423
0,8,19.575
0,8,13.454
0,8,13.463
0,8,13.497
0,8,19.528
0,8,13.548
174,8,27.437
0,9,14.902
0,9,14.907
0,9,20.763
0,9,14.825
0,9,14.855
0,9,14.841
0,9,14.877
0,9,14.736
0,9,20.614
0,9,14.860
0,9,14.821
0,9,14.889
0,9,14.877
0,9,14.819
0,9,14.859
0,9,20.621
0,9,20.783
0,9,20.892
0,9,14.873
0,9,14.828
0,9,14.951
0,9,279.225
0,9,21.171
0,9,20.853
0,9,14.895
0,9,29.435
0,9,20.786
0,9,14.726
0,9,192.715
0,9,39.688
0,9,14.910
0,9,14.793
0,9,14.878
0,9,14.859
0,9,14.841
0,9,14.851
0,9,14.845
0,9,14.945
0,9,14.928
0,9,14.885
0,9,14.769
0,9,14.835
0,9,74.090
0,9,17.124
0,9,14.758
