phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,13,1531598463122823031,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,1667.648
context,sweep,15,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,181.676
context,sweep,16,1531598463122823031,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,80.512
context,sweep,17,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,114.437
context,sweep,18,1531598463122823031,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,32.575
context,sweep,19,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,121.645
context,sweep,20,1531598463122823031,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,33.744
context,sweep,21,1531598463122823031,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,74.080
context,sweep,22,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,114.423
context,sweep,23,1531598463122823031,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,32.723
context,sweep,24,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,121.307
context,sweep,25,1531598463122823031,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,32.883
context,sweep,26,1531598463122823031,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,73.010
context,sweep,33,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,112.316
decode,sweep,34,1531598463122823031,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,197.227
decode,sweep,35,1531598463122823031,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,9.845
decode,sweep,36,1531598463122823031,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,9.939
decode,sweep,37,1531598463122823031,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,9.952
decode,sweep,38,1531598463122823031,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,9.911
decode,sweep,39,1531598463122823031,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,9.893
decode,sweep,40,1531598463122823031,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.038
context,sweep,47,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,111.605
decode,sweep,49,1531598463122823031,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,1451.395
decode,sweep,50,1531598463122823031,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,233.063
decode,sweep,51,1531598463122823031,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,10.147
decode,sweep,52,1531598463122823031,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,10.077
decode,sweep,53,1531598463122823031,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,10.089
decode,sweep,54,1531598463122823031,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,10.070
decode,sweep,55,1531598463122823031,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.270
context,sweep,62,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,113.446
decode,sweep,63,1531598463122823031,0,0,0,0,0.000,1,4096,0.000,1,4096,0.000,0,0,0.000,106.415
mixed,sweep,64,1531598463122823031,0,8191,2,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,609.212
mixed,sweep,65,1531598463122823031,0,4097,2,4095,0.000,2,8194,1.000,0,0,0.000,0,0,0.000,716.152
decode,sweep,66,1531598463122823031,0,0,0,0,0.000,4,16388,1.500,0,0,0.000,0,0,0.000,360.487
decode,sweep,67,1531598463122823031,0,0,0,0,0.000,4,16392,1.500,0,0,0.000,0,0,0.000,153.465
decode,sweep,68,1531598463122823031,0,0,0,0,0.000,4,16396,1.500,0,0,0.000,0,0,0.000,16.590
decode,sweep,69,1531598463122823031,0,0,0,0,0.000,4,16400,1.500,0,0,0.000,0,0,0.000,13.693
decode,sweep,70,1531598463122823031,0,0,0,0,0.000,3,12301,0.222,0,0,0.000,0,0,0.000,13.426
decode,sweep,71,1531598463122823031,0,0,0,0,0.000,3,12304,0.222,0,0,0.000,0,0,0.000,11.642
decode,sweep,72,1531598463122823031,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,11.675
context,sweep,79,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,113.341
decode,sweep,80,1531598463122823031,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,10.002
decode,sweep,81,1531598463122823031,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,10.059
decode,sweep,82,1531598463122823031,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,10.140
decode,sweep,83,1531598463122823031,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,10.139
decode,sweep,84,1531598463122823031,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,10.056
decode,sweep,85,1531598463122823031,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,10.098
decode,sweep,86,1531598463122823031,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,10.220
context,sweep,93,1531598463122823031,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,113.444
decode,sweep,94,1531598463122823031,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,134.165
