phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,13,1531598463122823031,0,128,1,0,0,0,0,0.000,0,0,0,0,1667.648
context,sweep,15,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,181.676
context,sweep,16,1531598463122823031,0,1024,1,0,0,0,0,0.000,0,0,0,0,80.512
context,sweep,17,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,114.437
context,sweep,18,1531598463122823031,0,128,1,0,0,0,0,0.000,0,0,0,0,32.575
context,sweep,19,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,121.645
context,sweep,20,1531598463122823031,0,128,1,0,0,0,0,0.000,0,0,0,0,33.744
context,sweep,21,1531598463122823031,0,1024,1,0,0,0,0,0.000,0,0,0,0,74.080
context,sweep,22,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,114.423
context,sweep,23,1531598463122823031,0,128,1,0,0,0,0,0.000,0,0,0,0,32.723
context,sweep,24,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,121.307
context,sweep,25,1531598463122823031,0,128,1,0,0,0,0,0.000,0,0,0,0,32.883
context,sweep,26,1531598463122823031,0,1024,1,0,0,0,0,0.000,0,0,0,0,73.010
context,sweep,33,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,112.316
decode,sweep,34,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,197.227
decode,sweep,35,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.845
decode,sweep,36,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.939
decode,sweep,37,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,9.952
decode,sweep,38,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,9.911
decode,sweep,39,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,9.893
decode,sweep,40,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.038
context,sweep,47,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,111.605
decode,sweep,49,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,1451.395
decode,sweep,50,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,233.063
decode,sweep,51,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.147
decode,sweep,52,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.077
decode,sweep,53,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.089
decode,sweep,54,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.070
decode,sweep,55,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.270
context,sweep,62,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.446
decode,sweep,63,1531598463122823031,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,106.415
mixed,sweep,64,1531598463122823031,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,609.212
mixed,sweep,65,1531598463122823031,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,716.152
decode,sweep,66,1531598463122823031,0,0,0,0,4,4,16388,4097.000,0,0,0,0,360.487
decode,sweep,67,1531598463122823031,0,0,0,0,4,4,16392,4098.000,0,0,0,0,153.465
decode,sweep,68,1531598463122823031,0,0,0,0,4,4,16396,4099.000,0,0,0,0,16.590
decode,sweep,69,1531598463122823031,0,0,0,0,4,4,16400,4100.000,0,0,0,0,13.693
decode,sweep,70,1531598463122823031,0,0,0,0,3,3,12301,4100.333,0,0,0,0,13.426
decode,sweep,71,1531598463122823031,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.642
decode,sweep,72,1531598463122823031,0,0,0,0,2,2,8204,4102.000,0,0,0,0,11.675
context,sweep,79,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.341
decode,sweep,80,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,10.002
decode,sweep,81,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.059
decode,sweep,82,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.140
decode,sweep,83,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.139
decode,sweep,84,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.056
decode,sweep,85,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.098
decode,sweep,86,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.220
context,sweep,93,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.444
decode,sweep,94,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,134.165
decode,sweep,95,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.205
decode,sweep,96,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.076
decode,sweep,97,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.072
decode,sweep,98,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.103
decode,sweep,99,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.080
decode,sweep,100,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.244
context,sweep,107,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,115.566
decode,sweep,108,1531598463122823031,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,245.889
mixed,sweep,109,1531598463122823031,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,212.239
mixed,sweep,110,1531598463122823031,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,225.853
decode,sweep,111,1531598463122823031,0,0,0,0,4,4,16388,4097.000,0,0,0,0,22.190
decode,sweep,112,1531598463122823031,0,0,0,0,4,4,16392,4098.000,0,0,0,0,13.337
decode,sweep,113,1531598463122823031,0,0,0,0,4,4,16396,4099.000,0,0,0,0,13.344
decode,sweep,114,1531598463122823031,0,0,0,0,4,4,16400,4100.000,0,0,0,0,13.593
decode,sweep,115,1531598463122823031,0,0,0,0,3,3,12301,4100.333,0,0,0,0,13.260
decode,sweep,116,1531598463122823031,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.801
decode,sweep,117,1531598463122823031,0,0,0,0,2,2,8204,4102.000,0,0,0,0,10.848
context,sweep,124,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.711
decode,sweep,125,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,9.995
decode,sweep,126,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.998
decode,sweep,127,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.059
decode,sweep,128,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.129
decode,sweep,129,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.085
decode,sweep,130,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.007
decode,sweep,131,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.158
context,sweep,138,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,112.523
decode,sweep,139,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,134.246
decode,sweep,140,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.252
decode,sweep,141,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.976
decode,sweep,142,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.107
decode,sweep,143,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.164
decode,sweep,144,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.127
decode,sweep,145,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.169
context,sweep,152,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,112.765
decode,sweep,153,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,105.761
mixed,sweep,154,1531598463122823031,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,235.880
mixed,sweep,155,1531598463122823031,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,274.354
decode,sweep,156,1531598463122823031,0,0,0,0,4,4,16388,4097.000,0,0,0,0,109.721
decode,sweep,157,1531598463122823031,0,0,0,0,4,4,16392,4098.000,0,0,0,0,11.571
decode,sweep,158,1531598463122823031,0,0,0,0,4,4,16396,4099.000,0,0,0,0,11.369
decode,sweep,159,1531598463122823031,0,0,0,0,4,4,16400,4100.000,0,0,0,0,11.690
decode,sweep,160,1531598463122823031,0,0,0,0,3,3,12301,4100.333,0,0,0,0,11.426
decode,sweep,161,1531598463122823031,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.675
decode,sweep,162,1531598463122823031,0,0,0,0,2,2,8204,4102.000,0,0,0,0,11.738
context,sweep,168,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.077
decode,sweep,169,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,9.947
decode,sweep,170,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.029
decode,sweep,171,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.037
decode,sweep,172,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.111
decode,sweep,173,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.025
decode,sweep,174,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.063
decode,sweep,175,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.195
context,sweep,182,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.792
decode,sweep,183,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,133.938
decode,sweep,184,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.032
decode,sweep,185,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.146
decode,sweep,186,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.022
decode,sweep,187,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.090
decode,sweep,188,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.023
decode,sweep,189,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.098
context,sweep,196,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.366
decode,sweep,197,1531598463122823031,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,208.725
mixed,sweep,198,1531598463122823031,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,210.090
mixed,sweep,199,1531598463122823031,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,266.642
decode,sweep,200,1531598463122823031,0,0,0,0,4,4,16388,4097.000,0,0,0,0,110.078
decode,sweep,201,1531598463122823031,0,0,0,0,4,4,16392,4098.000,0,0,0,0,13.653
decode,sweep,202,1531598463122823031,0,0,0,0,4,4,16396,4099.000,0,0,0,0,13.438
decode,sweep,203,1531598463122823031,0,0,0,0,4,4,16400,4100.000,0,0,0,0,13.514
decode,sweep,204,1531598463122823031,0,0,0,0,3,3,12301,4100.333,0,0,0,0,13.336
decode,sweep,205,1531598463122823031,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.784
decode,sweep,206,1531598463122823031,0,0,0,0,2,2,8204,4102.000,0,0,0,0,11.642
context,sweep,213,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.654
decode,sweep,214,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,9.944
decode,sweep,215,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.004
decode,sweep,216,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.980
decode,sweep,217,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.077
decode,sweep,218,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.028
decode,sweep,219,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.022
decode,sweep,220,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.114
context,sweep,227,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,112.992
decode,sweep,228,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,134.159
decode,sweep,229,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.130
decode,sweep,230,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.061
decode,sweep,231,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.018
decode,sweep,232,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.111
decode,sweep,233,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.015
decode,sweep,234,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.180
context,sweep,241,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,114.323
decode,sweep,242,1531598463122823031,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,181.384
mixed,sweep,243,1531598463122823031,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,235.695
mixed,sweep,244,1531598463122823031,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,239.812
decode,sweep,245,1531598463122823031,0,0,0,0,4,4,16388,4097.000,0,0,0,0,109.338
decode,sweep,246,1531598463122823031,0,0,0,0,4,4,16392,4098.000,0,0,0,0,13.564
decode,sweep,247,1531598463122823031,0,0,0,0,4,4,16396,4099.000,0,0,0,0,13.524
decode,sweep,248,1531598463122823031,0,0,0,0,4,4,16400,4100.000,0,0,0,0,13.682
decode,sweep,249,1531598463122823031,0,0,0,0,3,3,12301,4100.333,0,0,0,0,13.489
decode,sweep,250,1531598463122823031,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.619
decode,sweep,251,1531598463122823031,0,0,0,0,2,2,8204,4102.000,0,0,0,0,11.766
context,sweep,258,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.356
decode,sweep,259,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,10.019
decode,sweep,260,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.997
decode,sweep,261,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.121
decode,sweep,262,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.113
decode,sweep,263,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.066
decode,sweep,264,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.120
decode,sweep,265,1531598463122823031,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.167
context,sweep,272,1531598463122823031,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.052
decode,sweep,273,1531598463122823031,0,0,0,0,1,1,4096,4096.000,0,0,0,0,134.163
decode,sweep,274,1531598463122823031,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.960
decode,sweep,275,1531598463122823031,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.930
decode,sweep,276,1531598463122823031,0,0,0,0,1,1,4099,4099.000,0,0,0,0,9.954
decode,sweep,277,1531598463122823031,0,0,0,0,1,1,4100,4100.000,0,0,0,0,9.933
decode,sweep,278,1531598463122823031,0,0,0,0,1,1,4101,4101.000,0,0,0,0,9.769
