phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,14,2827200795512286860,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,1646.437
context,sweep,18,2827200795512286860,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,1976.076
context,sweep,19,2827200795512286860,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,80.811
context,sweep,20,2827200795512286860,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,114.739
context,sweep,21,2827200795512286860,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,32.956
context,sweep,22,2827200795512286860,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,72.708
context,sweep,23,2827200795512286860,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,40.908
context,sweep,24,2827200795512286860,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,72.475
context,sweep,25,2827200795512286860,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,114.874
context,sweep,26,2827200795512286860,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,33.246
context,sweep,27,2827200795512286860,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,122.256
context,sweep,28,2827200795512286860,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,79.439
context,sweep,29,2827200795512286860,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,114.800
context,sweep,36,2827200795512286860,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,113.575
