num_context_tokens,num_decode_tokens,latency_ms
128,0,1690.810
1024,0,70.943
4096,0,1692.211
128,0,27.990
1024,0,66.712
4096,0,97.624
128,0,26.828
1024,0,66.520
4096,0,97.371
128,0,26.335
1024,0,65.939
4096,0,97.151
128,0,25.898
1024,0,64.929
4096,0,97.180
128,0,25.719
1024,0,65.143
4096,0,97.106
4096,0,101.554
0,1,234.683
0,1,7.755
0,1,7.859
0,1,7.880
0,1,7.819
0,1,7.839
0,1,7.905
4096,0,101.136
0,1,10.842
8191,1,624.360
4097,2,243.337
0,4,8.686
0,4,8.775
0,4,8.906
0,4,8.986
0,3,8.724
0,3,8.944
0,2,8.280
8192,0,303.299
0,2,9.209
8190,2,188.539
8189,3,163.575
8187,5,163.253
8185,7,164.614
8183,9,163.400
8181,11,162.665
8181,11,162.303
48,13,23.349
0,13,10.962
0,11,10.716
0,9,10.648
0,7,9.610
0,5,9.512
0,3,8.902
0,1,7.684
4096,0,100.259
0,1,7.741
0,1,7.833
0,1,7.801
0,1,7.893
0,1,7.843
0,1,7.844
0,1,7.887
4096,0,102.374
0,1,7.917
8191,1,161.914
4097,2,97.621
0,4,8.882
0,4,8.867
0,4,8.835
0,4,8.983
0,3,8.705
0,3,8.826
0,2,8.189
4096,0,102.208
0,1,7.868
4096,1,228.371
0,2,8.198
8190,2,162.178
8189,3,162.013
8187,5,162.121
8185,7,162.512
8184,8,164.733
8182,10,162.461
8181,11,162.281
46,13,23.338
0,13,10.854
0,11,10.806
0,9,10.770
0,7,9.718
0,5,9.613
0,3,8.883
0,1,7.693
4096,0,101.504
0,1,7.769
0,1,7.811
0,1,7.815
0,1,7.944
0,1,7.801
0,1,7.796
0,1,7.922
4096,0,100.940
0,1,7.769
8191,1,162.073
4097,2,97.589
0,4,8.725
0,4,8.798
0,4,8.903
0,4,8.924
0,3,8.737
0,3,8.969
0,2,8.173
4096,0,101.680
0,1,8.922
8191,1,160.948
8190,2,162.134
8188,4,161.841
8186,6,162.308
8184,8,162.288
8182,10,162.503
8181,11,162.074
4138,13,99.172
0,14,10.800
0,12,10.713
0,10,10.788
0,8,9.636
0,6,9.558
0,4,8.809
0,2,8.269
4096,0,101.644
0,1,7.757
0,1,7.817
0,1,7.856
0,1,7.874
0,1,7.812
0,1,7.795
0,1,7.874
4096,0,99.666
8191,1,162.179
4097,2,97.608
0,4,8.769
0,4,8.789
0,4,8.858
0,4,8.914
0,4,9.000
0,3,8.881
0,2,8.289
4096,0,101.480
0,1,7.772
8191,1,162.212
8190,2,162.150
8188,4,162.012
8186,6,162.224
8184,8,162.241
8182,10,162.411
8181,11,162.424
4138,13,98.690
0,14,10.651
0,12,10.640
0,10,10.501
0,8,9.625
0,6,9.560
0,4,8.790
0,2,8.228
4096,0,101.422
0,1,7.752
0,1,7.822
0,1,7.811
0,1,7.913
0,1,7.838
0,1,7.798
0,1,7.900
4096,0,101.617
0,1,7.751
8191,1,162.164
4097,2,97.786
0,4,8.808
0,4,8.804
0,4,8.769
0,4,9.015
0,3,8.775
0,3,8.923
0,2,8.246
4096,0,100.453
0,1,7.781
8191,1,161.995
8190,2,162.164
8188,4,162.155
8186,6,162.406
8184,8,162.190
8182,10,162.481
8181,11,162.312
4138,13,98.634
0,14,10.689
0,12,10.659
0,10,10.669
0,8,9.548
0,6,9.645
0,4,8.745
0,2,8.265
4096,0,101.407
0,1,7.791
0,1,7.833
0,1,7.835
0,1,7.870
0,1,7.849
0,1,7.773
0,1,7.862
4096,0,101.194
0,1,7.796
8191,1,162.131
4097,2,97.828
0,4,8.808
0,4,8.826
0,4,8.878
0,4,9.008
0,3,8.716
0,3,8.959
0,2,8.314
4096,0,100.859
0,1,7.782
8191,1,162.251
8190,2,161.984
8188,4,161.922
8186,6,162.433
8184,8,162.157
8182,10,162.594
8181,11,162.476
4138,13,98.657
0,14,10.766
0,12,10.667
0,10,10.701
0,8,9.664
0,6,9.567
0,4,8.775
0,2,8.179
1024,0,87.298
0,1,8.946
0,1,7.649
0,1,7.617
0,1,7.686
0,1,7.710
0,1,7.629
0,1,7.648
0,1,7.751
0,1,7.640
0,1,7.685
0,1,7.630
0,1,10.579
2048,1,165.060
5120,2,1575.890
8188,4,159.909
8185,7,165.883
8181,11,160.802
8178,14,161.874
8173,19,163.889
8169,23,163.924
8167,25,161.913
8164,28,164.135
1155,31,1633.158
0,32,13.177
0,32,12.241
0,32,12.272
0,32,12.155
0,32,12.240
0,32,12.309
0,32,12.160
0,32,12.510
0,31,12.484
0,31,17.421
4096,31,187.096
0,32,12.386
0,32,12.506
0,32,12.362
0,32,12.486
0,32,12.568
0,32,12.508
0,32,12.473
0,32,12.576
0,32,12.616
0,32,12.601
0,31,12.988
0,29,40.276
1024,26,1589.537
6144,23,1527.089
7168,22,150.049
8172,20,160.464
7188,19,147.077
8171,21,161.060
8172,20,164.999
8171,21,160.394
8169,23,162.169
8165,27,160.615
2160,30,67.857
0,32,12.428
0,32,12.304
0,32,12.475
0,32,12.400
0,32,12.279
0,32,12.321
