phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,14,10096044999103070336,0,128,1,0,0,0,0,0.000,0,0,0,0,1690.810
context,sweep,15,10096044999103070336,0,1024,1,0,0,0,0,0.000,0,0,0,0,70.943
context,sweep,17,10096044999103070336,0,4096,1,0,0,0,0,0.000,0,0,0,0,1692.211
context,sweep,18,10096044999103070336,0,128,1,0,0,0,0,0.000,0,0,0,0,27.990
context,sweep,19,10096044999103070336,0,1024,1,0,0,0,0,0.000,0,0,0,0,66.712
context,sweep,20,10096044999103070336,0,4096,1,0,0,0,0,0.000,0,0,0,0,97.624
context,sweep,21,10096044999103070336,0,128,1,0,0,0,0,0.000,0,0,0,0,26.828
context,sweep,22,10096044999103070336,0,1024,1,0,0,0,0,0.000,0,0,0,0,66.520
context,sweep,23,10096044999103070336,0,4096,1,0,0,0,0,0.000,0,0,0,0,97.371
context,sweep,24,10096044999103070336,0,128,1,0,0,0,0,0.000,0,0,0,0,26.335
context,sweep,25,10096044999103070336,0,1024,1,0,0,0,0,0.000,0,0,0,0,65.939
context,sweep,26,10096044999103070336,0,4096,1,0,0,0,0,0.000,0,0,0,0,97.151
context,sweep,27,10096044999103070336,0,128,1,0,0,0,0,0.000,0,0,0,0,25.898
context,sweep,28,10096044999103070336,0,1024,1,0,0,0,0,0.000,0,0,0,0,64.929
context,sweep,29,10096044999103070336,0,4096,1,0,0,0,0,0.000,0,0,0,0,97.180
context,sweep,30,10096044999103070336,0,128,1,0,0,0,0,0.000,0,0,0,0,25.719
context,sweep,31,10096044999103070336,0,1024,1,0,0,0,0,0.000,0,0,0,0,65.143
context,sweep,32,10096044999103070336,0,4096,1,0,0,0,0,0.000,0,0,0,0,97.106
context,sweep,39,10096044999103070336,0,4096,1,0,0,0,0,0.000,0,0,0,0,101.554
decode,sweep,40,10096044999103070336,0,0,0,0,1,1,4096,4096.000,0,0,0,0,234.683
decode,sweep,41,10096044999103070336,0,0,0,0,1,1,4097,4097.000,0,0,0,0,7.755
decode,sweep,42,10096044999103070336,0,0,0,0,1,1,4098,4098.000,0,0,0,0,7.859
decode,sweep,43,10096044999103070336,0,0,0,0,1,1,4099,4099.000,0,0,0,0,7.880
decode,sweep,44,10096044999103070336,0,0,0,0,1,1,4100,4100.000,0,0,0,0,7.819
decode,sweep,45,10096044999103070336,0,0,0,0,1,1,4101,4101.000,0,0,0,0,7.839
decode,sweep,46,10096044999103070336,0,0,0,0,1,1,4102,4102.000,0,0,0,0,7.905
context,sweep,53,10096044999103070336,0,4096,1,0,0,0,0,0.000,0,0,0,0,101.136
