phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,21,17180458298240914666,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,4354.680
context,sweep,23,17180458298240914666,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,182.995
context,sweep,24,17180458298240914666,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,183.209
context,sweep,25,17180458298240914666,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,55.476
context,sweep,26,17180458298240914666,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,20.689
context,sweep,27,17180458298240914666,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,48.917
context,sweep,28,17180458298240914666,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,20.195
context,sweep,30,17180458298240914666,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,23.477
context,sweep,31,17180458298240914666,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,48.598
context,sweep,32,17180458298240914666,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,20.253
context,sweep,33,17180458298240914666,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,48.626
context,sweep,42,17180458298240914666,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,55.927
context,sweep,43,17180458298240914666,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,48.860
decode,sweep,44,17180458298240914666,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,185.813
decode,sweep,45,17180458298240914666,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,5.353
decode,sweep,46,17180458298240914666,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,5.417
decode,sweep,47,17180458298240914666,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,5.372
decode,sweep,48,17180458298240914666,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,5.381
decode,sweep,49,17180458298240914666,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,5.372
decode,sweep,50,17180458298240914666,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,5.406
context,sweep,59,17180458298240914666,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,54.729
context,sweep,60,17180458298240914666,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,814.795
decode,sweep,61,17180458298240914666,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,312.949
decode,sweep,62,17180458298240914666,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,182.687
decode,sweep,63,17180458298240914666,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,5.412
decode,sweep,64,17180458298240914666,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,5.434
decode,sweep,65,17180458298240914666,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,5.431
decode,sweep,66,17180458298240914666,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,5.444
decode,sweep,67,17180458298240914666,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,5.425
context,sweep,76,17180458298240914666,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,55.835
context,sweep,77,17180458298240914666,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,54.358
decode,sweep,78,17180458298240914666,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,875.734
mixed,sweep,79,17180458298240914666,0,3168,1,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,527.528
mixed,sweep,81,17180458298240914666,0,928,1,3168,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,1010.866
decode,sweep,82,17180458298240914666,0,0,0,0,0.000,2,8195,2.250,0,0,0.000,0,0,0.000,10.610
decode,sweep,83,17180458298240914666,0,0,0,0,0.000,2,8197,2.250,0,0,0.000,0,0,0.000,6.127
decode,sweep,84,17180458298240914666,0,0,0,0,0.000,2,8199,2.250,0,0,0.000,0,0,0.000,6.115
decode,sweep,85,17180458298240914666,0,0,0,0,0.000,2,8201,2.250,0,0,0.000,0,0,0.000,6.234
decode,sweep,86,17180458298240914666,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,6.049
decode,sweep,87,17180458298240914666,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,6.081
decode,sweep,88,17180458298240914666,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,7.976
context,sweep,97,17180458298240914666,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,56.047
context,sweep,98,17180458298240914666,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,48.785
decode,sweep,99,17180458298240914666,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,8.340
decode,sweep,100,17180458298240914666,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,5.360
decode,sweep,101,17180458298240914666,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,5.367
decode,sweep,102,17180458298240914666,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,5.404
decode,sweep,103,17180458298240914666,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,5.320
decode,sweep,104,17180458298240914666,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,5.401
decode,sweep,105,17180458298240914666,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,5.366
context,sweep,114,17180458298240914666,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,56.779
context,sweep,115,17180458298240914666,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,57.016
decode,sweep,116,17180458298240914666,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,48.189
decode,sweep,117,17180458298240914666,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,8.790
decode,sweep,118,17180458298240914666,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,8.879
