num_context_tokens,num_decode_tokens,latency_ms
128,0,4479.572
3168,0,195.417
928,0,195.813
1024,0,62.949
128,0,25.435
1024,0,54.833
128,0,25.364
3168,0,58.138
928,0,50.325
128,0,21.257
3168,0,58.278
928,0,50.970
128,0,21.168
3168,0,57.531
928,0,50.236
3168,0,60.730
928,0,54.095
0,1,184.156
0,1,5.339
0,1,5.436
0,1,5.408
0,1,5.389
0,1,5.401
0,1,5.446
3168,0,60.767
928,0,60.160
3168,1,1221.516
928,1,95.465
0,2,6.645
0,2,5.245
0,2,5.270
0,2,5.236
0,2,5.307
0,1,5.260
0,1,6.329
3168,0,62.665
928,0,53.361
0,1,62.233
7392,1,69.995
7136,1,355.482
7136,3,58.099
5152,5,56.118
1856,6,84.473
0,8,8.537
0,7,5.803
0,7,5.940
0,7,6.070
0,5,5.986
0,3,5.360
0,2,178.554
3168,0,59.716
928,0,52.823
0,1,6.768
0,1,5.437
0,1,5.402
0,1,5.422
0,1,5.420
0,1,5.405
0,1,5.426
3168,0,60.936
928,0,53.716
3168,1,54.138
928,1,55.990
0,2,6.562
0,2,5.230
0,2,5.268
0,2,5.244
0,2,5.311
0,1,5.204
0,1,6.353
3168,0,72.211
928,0,53.365
7392,1,57.132
7136,1,65.687
7136,3,62.497
5152,5,60.136
1856,6,51.374
0,8,51.309
0,8,7.637
0,7,5.817
0,7,5.990
0,5,6.008
0,3,5.898
0,2,5.534
3168,0,62.654
928,0,53.258
0,1,7.010
0,1,5.412
0,1,5.375
0,1,5.409
0,1,5.406
0,1,5.399
0,1,5.436
3168,0,62.232
928,0,52.685
3168,1,54.267
928,1,52.182
0,2,6.334
0,2,5.091
0,2,5.157
0,2,5.281
0,2,5.140
0,1,5.187
0,1,6.263
3168,0,62.298
928,0,53.275
0,1,51.466
7392,1,57.008
7136,1,62.243
7136,3,61.748
5152,5,59.285
1856,6,50.352
0,8,49.589
0,7,7.446
0,7,5.975
0,7,5.993
0,5,5.983
0,3,5.710
0,2,5.128
3168,0,59.865
928,0,53.076
0,1,7.174
0,1,5.302
0,1,5.468
0,1,5.363
0,1,5.406
0,1,5.394
0,1,5.418
3168,0,62.775
928,0,53.207
3168,1,53.750
928,1,52.734
0,2,6.346
0,2,5.198
0,2,5.214
0,2,5.214
0,2,5.283
0,1,5.190
0,1,6.258
3168,0,62.010
928,0,53.787
0,1,53.738
7392,1,57.153
7136,1,63.997
7136,3,62.214
5152,5,59.772
1856,6,51.136
0,8,50.232
0,7,8.063
0,7,5.866
0,7,6.052
0,5,5.885
0,3,5.907
0,2,5.539
3168,0,61.569
928,0,53.064
0,1,6.731
0,1,5.375
0,1,5.399
0,1,5.434
0,1,5.410
0,1,5.400
0,1,5.417
3168,0,58.959
928,0,52.916
3168,1,53.667
928,1,52.852
0,2,6.271
0,2,5.171
0,2,5.225
0,2,5.131
0,2,5.207
0,1,5.222
0,1,6.392
3168,0,57.755
928,0,56.954
7392,1,65.336
7136,1,57.678
7136,3,57.286
5152,5,51.214
1856,6,51.886
0,8,6.923
0,8,5.982
0,7,5.894
0,7,6.253
0,5,6.090
0,3,5.529
0,2,5.267
3168,0,61.097
928,0,53.001
0,1,6.672
0,1,5.420
0,1,5.425
0,1,5.430
0,1,5.403
0,1,5.383
0,1,5.430
3168,0,60.275
928,0,53.512
3168,1,54.002
928,1,52.355
0,2,6.307
0,2,5.192
0,2,5.182
0,2,5.178
0,2,5.229
0,1,5.245
0,1,6.242
3168,0,60.186
928,0,56.736
0,1,55.597
7392,1,65.313
7136,1,57.653
7136,3,57.433
5152,5,51.104
