phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,21,17960346435301540717,0,128,1,0,0,0,0,0.000,0,0,0,0,4479.572
context,sweep,23,17960346435301540717,0,3168,1,0,0,0,0,0.000,0,0,0,0,195.417
context,sweep,24,17960346435301540717,0,928,1,3168,0,0,0,0.000,0,0,0,0,195.813
context,sweep,25,17960346435301540717,0,1024,1,0,0,0,0,0.000,0,0,0,0,62.949
context,sweep,26,17960346435301540717,0,128,1,0,0,0,0,0.000,0,0,0,0,25.435
context,sweep,27,17960346435301540717,0,1024,1,0,0,0,0,0.000,0,0,0,0,54.833
context,sweep,28,17960346435301540717,0,128,1,0,0,0,0,0.000,0,0,0,0,25.364
context,sweep,29,17960346435301540717,0,3168,1,0,0,0,0,0.000,0,0,0,0,58.138
context,sweep,30,17960346435301540717,0,928,1,3168,0,0,0,0.000,0,0,0,0,50.325
context,sweep,31,17960346435301540717,0,128,1,0,0,0,0,0.000,0,0,0,0,21.257
context,sweep,32,17960346435301540717,0,3168,1,0,0,0,0,0.000,0,0,0,0,58.278
context,sweep,33,17960346435301540717,0,928,1,3168,0,0,0,0.000,0,0,0,0,50.970
context,sweep,34,17960346435301540717,0,128,1,0,0,0,0,0.000,0,0,0,0,21.168
context,sweep,35,17960346435301540717,0,3168,1,0,0,0,0,0.000,0,0,0,0,57.531
context,sweep,36,17960346435301540717,0,928,1,3168,0,0,0,0.000,0,0,0,0,50.236
context,sweep,45,17960346435301540717,0,3168,1,0,0,0,0,0.000,0,0,0,0,60.730
context,sweep,46,17960346435301540717,0,928,1,3168,0,0,0,0.000,0,0,0,0,54.095
decode,sweep,47,17960346435301540717,0,0,0,0,1,1,4096,4096.000,0,0,0,0,184.156
decode,sweep,48,17960346435301540717,0,0,0,0,1,1,4097,4097.000,0,0,0,0,5.339
decode,sweep,49,17960346435301540717,0,0,0,0,1,1,4098,4098.000,0,0,0,0,5.436
decode,sweep,50,17960346435301540717,0,0,0,0,1,1,4099,4099.000,0,0,0,0,5.408
decode,sweep,51,17960346435301540717,0,0,0,0,1,1,4100,4100.000,0,0,0,0,5.389
decode,sweep,52,17960346435301540717,0,0,0,0,1,1,4101,4101.000,0,0,0,0,5.401
decode,sweep,53,17960346435301540717,0,0,0,0,1,1,4102,4102.000,0,0,0,0,5.446
context,sweep,62,17960346435301540717,0,3168,1,0,0,0,0,0.000,0,0,0,0,60.767
context,sweep,63,17960346435301540717,0,928,1,3168,0,0,0,0.000,0,0,0,0,60.160
mixed,sweep,65,17960346435301540717,0,3168,1,0,1,1,4096,4096.000,0,0,0,0,1221.516
mixed,sweep,66,17960346435301540717,0,928,1,3168,1,1,4097,4097.000,0,0,0,0,95.465
decode,sweep,67,17960346435301540717,0,0,0,0,2,2,8194,4097.000,0,0,0,0,6.645
decode,sweep,68,17960346435301540717,0,0,0,0,2,2,8196,4098.000,0,0,0,0,5.245
decode,sweep,69,17960346435301540717,0,0,0,0,2,2,8198,4099.000,0,0,0,0,5.270
decode,sweep,70,17960346435301540717,0,0,0,0,2,2,8200,4100.000,0,0,0,0,5.236
decode,sweep,71,17960346435301540717,0,0,0,0,2,2,8202,4101.000,0,0,0,0,5.307
decode,sweep,72,17960346435301540717,0,0,0,0,1,1,4101,4101.000,0,0,0,0,5.260
decode,sweep,73,17960346435301540717,0,0,0,0,1,1,4102,4102.000,0,0,0,0,6.329
context,sweep,82,17960346435301540717,0,3168,1,0,0,0,0,0.000,0,0,0,0,62.665
context,sweep,83,17960346435301540717,0,928,1,3168,0,0,0,0.000,0,0,0,0,53.361
