num_context_tokens,num_decode_tokens,latency_ms
128,0,4664.604
3696,0,204.039
400,0,161.972
528,0,70.045
496,0,21.756
3696,0,58.868
400,0,18.153
128,0,21.264
3696,0,64.551
400,0,17.946
128,0,21.207
3696,0,64.631
400,0,17.815
128,0,21.500
3696,0,63.619
400,0,17.860
128,0,21.303
3696,0,63.572
400,0,18.204
3696,0,61.989
400,0,18.480
0,1,189.016
0,1,5.925
0,1,5.906
0,1,5.987
0,1,5.943
0,1,5.969
0,1,5.998
3696,0,60.951
400,0,189.036
3696,1,404.653
400,1,91.784
0,2,7.540
0,2,6.116
0,2,6.042
0,2,6.076
0,2,6.180
0,1,5.999
0,1,7.019
3696,0,61.760
400,0,18.302
0,1,7.625
3696,1,61.736
400,1,19.276
7920,2,1221.769
7664,2,61.698
7664,4,57.026
928,6,62.762
400,6,64.737
0,7,8.722
0,7,6.244
0,6,6.239
0,6,6.263
0,4,6.285
0,2,5.809
0,1,6.090
3696,0,62.211
400,0,18.484
0,1,7.494
0,1,5.978
0,1,5.933
0,1,5.981
0,1,5.994
0,1,5.980
0,1,6.024
3696,0,61.354
400,0,60.593
3696,1,56.858
400,1,18.721
0,2,7.198
0,2,6.010
0,2,6.073
0,2,6.093
0,2,6.153
0,1,5.999
0,1,6.902
3696,0,60.020
400,0,18.258
0,1,57.429
0,1,18.692
7920,1,56.358
7664,1,54.410
7664,3,55.941
4624,5,54.440
800,6,56.597
0,7,7.656
0,7,6.146
0,7,6.259
0,7,6.284
0,5,6.221
0,3,5.909
0,2,6.026
3696,0,61.483
400,0,18.332
0,1,7.601
0,1,5.953
0,1,5.974
0,1,5.955
0,1,6.007
0,1,5.944
0,1,6.011
3696,0,61.633
400,0,59.838
3696,1,60.409
400,1,18.702
0,2,7.121
0,2,6.081
0,2,6.030
0,2,6.079
0,2,6.095
0,1,5.997
0,1,6.895
3696,0,71.877
400,0,22.316
0,1,7.406
3696,1,56.931
400,1,18.097
7920,2,56.262
7664,2,60.385
7664,4,60.591
928,6,59.105
400,6,59.595
0,7,8.273
0,7,6.245
0,6,6.155
0,6,6.308
0,4,6.228
0,2,5.870
0,1,6.080
3696,0,61.774
400,0,18.467
0,1,7.528
0,1,5.938
0,1,5.989
0,1,5.950
0,1,5.994
0,1,5.979
0,1,6.016
3696,0,61.604
400,0,57.779
3696,1,58.633
400,1,18.265
0,2,7.094
0,2,6.087
0,2,6.031
0,2,6.080
0,2,6.158
0,1,6.025
0,1,6.834
3696,0,73.004
400,0,22.305
0,1,7.518
3696,1,58.175
4096,1,62.389
7792,2,65.706
7664,3,55.158
4624,5,61.472
800,6,56.333
0,7,58.557
0,7,8.155
0,7,6.242
0,6,6.212
0,5,6.251
0,3,6.228
0,2,5.938
3696,0,61.606
400,0,18.364
0,1,7.656
0,1,5.926
0,1,5.977
0,1,6.000
0,1,5.996
0,1,5.988
0,1,6.043
3696,0,62.448
400,0,58.140
3696,1,56.392
400,1,18.791
0,2,7.063
0,2,6.042
0,2,6.073
0,2,6.079
0,2,6.155
0,1,6.008
0,1,6.801
3696,0,61.838
400,0,18.400
0,1,57.125
3696,1,58.639
7792,1,66.445
7664,2,55.565
7792,4,65.341
1328,5,56.228
400,7,58.251
0,7,8.060
0,7,6.199
0,7,6.303
0,6,6.278
0,4,6.165
0,3,5.976
0,1,5.999
3696,0,61.946
400,0,18.394
0,1,7.358
0,1,5.991
0,1,5.972
0,1,5.970
0,1,5.997
0,1,5.970
0,1,6.004
3696,0,62.500
400,0,57.401
3696,1,56.676
400,1,19.329
0,2,7.242
0,2,6.071
0,2,6.077
0,2,6.088
0,2,6.114
0,1,6.051
0,1,6.953
3696,0,61.937
400,0,18.368
0,1,7.500
0,1,55.189
7392,1,60.216
7664,1,63.545
7792,3,63.032
5024,4,63.968
800,6,55.046
0,7,57.667
0,7,8.062
0,7,6.220
0,7,6.292
0,5,6.202
0,4,6.287
0,2,5.899
528,0,66.174
496,0,19.074
0,1,7.314
0,1,5.988
0,1,5.918
0,1,5.974
0,1,5.990
0,1,6.293
0,1,5.707
0,1,60.048
3696,1,56.963
7792,1,61.757
7664,2,63.461
7664,4,53.700
7792,8,61.923
8128,9,89.779
4992,12,56.129
400,16,18.749
0,17,8.325
0,17,7.036
0,17,7.030
0,17,7.002
0,17,7.029
0,17,7.044
0,17,7.062
0,17,7.083
0,17,7.099
0,17,7.103
0,17,7.101
0,17,7.116
0,17,7.111
0,17,7.117
0,17,7.201
0,16,6.567
0,16,6.558
0,16,58.080
0,16,23.787
0,16,7.854
0,16,6.600
0,16,6.591
0,16,6.601
0,16,6.597
0,16,6.714
0,15,6.654
528,13,57.746
496,9,58.820
2112,9,60.640
7824,6,63.400
7200,4,61.799
8160,7,65.020
7232,10,60.273
1264,12,54.518
0,15,26.312
0,15,8.530
0,15,7.069
0,15,7.176
0,15,7.104
0,15,7.119
0,15,7.124
0,15,7.144
0,15,7.137
0,15,7.104
0,15,7.107
0,15,7.140
