phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,21,6881790714010957325,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,4664.604
context,sweep,23,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,204.039
context,sweep,24,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,161.972
context,sweep,25,6881790714010957325,0,528,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,70.045
context,sweep,26,6881790714010957325,0,496,1,528,0.000,0,0,0.000,0,0,0.000,0,0,0.000,21.756
context,sweep,27,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,58.868
context,sweep,28,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,18.153
context,sweep,29,6881790714010957325,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,21.264
context,sweep,30,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,64.551
context,sweep,31,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,17.946
context,sweep,32,6881790714010957325,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,21.207
context,sweep,33,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,64.631
context,sweep,34,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,17.815
context,sweep,35,6881790714010957325,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,21.500
context,sweep,36,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,63.619
context,sweep,37,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,17.860
context,sweep,38,6881790714010957325,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,21.303
context,sweep,39,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,63.572
context,sweep,40,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,18.204
context,sweep,49,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,61.989
context,sweep,50,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,18.480
decode,sweep,51,6881790714010957325,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,189.016
decode,sweep,52,6881790714010957325,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,5.925
decode,sweep,53,6881790714010957325,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,5.906
decode,sweep,54,6881790714010957325,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,5.987
decode,sweep,55,6881790714010957325,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,5.943
decode,sweep,56,6881790714010957325,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,5.969
decode,sweep,57,6881790714010957325,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,5.998
context,sweep,66,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,60.951
context,sweep,67,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,189.036
mixed,sweep,68,6881790714010957325,0,3696,1,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,404.653
mixed,sweep,69,6881790714010957325,0,400,1,3696,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,91.784
decode,sweep,70,6881790714010957325,0,0,0,0,0.000,2,8194,1.000,0,0,0.000,0,0,0.000,7.540
decode,sweep,71,6881790714010957325,0,0,0,0,0.000,2,8196,1.000,0,0,0.000,0,0,0.000,6.116
decode,sweep,72,6881790714010957325,0,0,0,0,0.000,2,8198,1.000,0,0,0.000,0,0,0.000,6.042
decode,sweep,73,6881790714010957325,0,0,0,0,0.000,2,8200,1.000,0,0,0.000,0,0,0.000,6.076
decode,sweep,74,6881790714010957325,0,0,0,0,0.000,2,8202,1.000,0,0,0.000,0,0,0.000,6.180
decode,sweep,75,6881790714010957325,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,5.999
decode,sweep,76,6881790714010957325,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,7.019
context,sweep,85,6881790714010957325,0,3696,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,61.760
context,sweep,86,6881790714010957325,0,400,1,3696,0.000,0,0,0.000,0,0,0.000,0,0,0.000,18.302
decode,sweep,87,6881790714010957325,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,7.625
mixed,sweep,88,6881790714010957325,0,3696,1,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,61.736
mixed,sweep,89,6881790714010957325,0,400,1,3696,0.000,1,4098,0.000,3,12288,0.000,0,0,0.000,19.276
mixed,sweep,91,6881790714010957325,0,7920,3,0,0.000,2,8195,2.250,2,8192,0.000,0,0,0.000,1221.769
mixed,sweep,92,6881790714010957325,0,7664,4,7920,0.000,2,8197,2.250,0,0,0.000,0,0,0.000,61.698
mixed,sweep,93,6881790714010957325,0,7664,4,7392,0.000,4,16391,4.187,0,0,0.000,0,0,0.000,57.026
mixed,sweep,94,6881790714010957325,0,928,2,6864,0.000,6,24587,4.472,0,0,0.000,0,0,0.000,62.762
mixed,sweep,95,6881790714010957325,0,400,1,3696,0.000,6,24586,1.556,0,0,0.000,0,0,0.000,64.737
decode,sweep,96,6881790714010957325,0,0,0,0,0.000,7,28688,2.204,0,0,0.000,0,0,0.000,8.722
