phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,21,6881790714010957325,0,128,1,0,0,0,0,0.000,0,0,0,0,4664.604
context,sweep,23,6881790714010957325,0,3696,1,0,0,0,0,0.000,0,0,0,0,204.039
context,sweep,24,6881790714010957325,0,400,1,3696,0,0,0,0.000,0,0,0,0,161.972
context,sweep,25,6881790714010957325,0,528,1,0,0,0,0,0.000,0,0,0,0,70.045
context,sweep,26,6881790714010957325,0,496,1,528,0,0,0,0.000,0,0,0,0,21.756
context,sweep,27,6881790714010957325,0,3696,1,0,0,0,0,0.000,0,0,0,0,58.868
context,sweep,28,6881790714010957325,0,400,1,3696,0,0,0,0.000,0,0,0,0,18.153
context,sweep,29,6881790714010957325,0,128,1,0,0,0,0,0.000,0,0,0,0,21.264
context,sweep,30,6881790714010957325,0,3696,1,0,0,0,0,0.000,0,0,0,0,64.551
context,sweep,31,6881790714010957325,0,400,1,3696,0,0,0,0.000,0,0,0,0,17.946
context,sweep,32,6881790714010957325,0,128,1,0,0,0,0,0.000,0,0,0,0,21.207
context,sweep,33,6881790714010957325,0,3696,1,0,0,0,0,0.000,0,0,0,0,64.631
context,sweep,34,6881790714010957325,0,400,1,3696,0,0,0,0.000,0,0,0,0,17.815
context,sweep,35,6881790714010957325,0,128,1,0,0,0,0,0.000,0,0,0,0,21.500
context,sweep,36,6881790714010957325,0,3696,1,0,0,0,0,0.000,0,0,0,0,63.619
context,sweep,37,6881790714010957325,0,400,1,3696,0,0,0,0.000,0,0,0,0,17.860
context,sweep,38,6881790714010957325,0,128,1,0,0,0,0,0.000,0,0,0,0,21.303
context,sweep,39,6881790714010957325,0,3696,1,0,0,0,0,0.000,0,0,0,0,63.572
context,sweep,40,6881790714010957325,0,400,1,3696,0,0,0,0.000,0,0,0,0,18.204
context,sweep,49,6881790714010957325,0,3696,1,0,0,0,0,0.000,0,0,0,0,61.989
context,sweep,50,6881790714010957325,0,400,1,3696,0,0,0,0.000,0,0,0,0,18.480
decode,sweep,51,6881790714010957325,0,0,0,0,1,1,4096,4096.000,0,0,0,0,189.016
decode,sweep,52,6881790714010957325,0,0,0,0,1,1,4097,4097.000,0,0,0,0,5.925
