num_context_tokens,num_decode_tokens,latency_ms
128,0,165.025
1024,0,73.854
4096,0,173.548
128,0,31.730
1024,0,73.254
4096,0,173.146
128,0,31.684
1024,0,70.418
4096,0,172.423
128,0,31.400
1024,0,69.977
4096,0,172.462
128,0,31.593
1024,0,69.076
4096,0,172.309
128,0,31.473
1024,0,69.575
4096,0,172.329
4096,0,175.904
0,1,8.392
0,1,8.451
0,1,8.500
0,1,8.514
0,1,8.466
0,1,8.457
0,1,8.564
4096,0,770.467
8191,1,304.565
4097,2,92.421
0,4,33.138
0,4,8.774
0,4,28.134
0,4,29.968
0,4,10.835
0,3,7.753
0,2,8.746
4096,0,320.735
8191,1,334.031
8190,2,372.072
8188,4,477.020
8186,6,184.376
8184,8,311.101
8182,10,311.146
8180,12,248.400
4139,13,94.757
0,14,33.588
0,12,29.955
0,10,32.479
0,8,32.499
0,6,29.808
0,4,29.985
0,2,7.984
4096,0,175.353
0,1,8.380
0,1,8.474
0,1,8.524
0,1,8.507
0,1,8.449
0,1,8.471
0,1,8.556
4096,0,322.815
8191,1,246.908
4097,2,92.781
0,4,29.470
0,4,29.941
0,4,33.022
0,4,29.954
0,4,30.169
0,3,29.983
0,2,9.198
4096,0,321.643
8191,1,310.820
8190,2,310.776
8188,4,310.933
8186,6,310.792
8184,8,311.115
8182,10,311.173
8180,12,247.985
4139,13,93.280
0,14,30.280
0,12,11.618
0,10,29.340
0,8,29.946
0,6,12.641
0,4,6.912
0,2,9.185
4096,0,174.996
0,1,8.443
0,1,8.460
0,1,8.492
0,1,8.533
0,1,8.473
0,1,8.483
0,1,8.565
4096,0,322.606
8191,1,246.900
4097,2,92.775
0,4,33.381
0,4,30.055
0,4,29.884
0,4,10.130
0,4,9.012
0,3,11.625
0,2,6.825
4096,0,325.757
8191,1,310.755
8190,2,311.070
8188,4,310.892
8186,6,310.885
8184,8,311.032
8182,10,311.300
8180,12,248.045
4139,13,93.275
0,14,31.604
0,12,32.867
0,10,36.270
0,8,17.482
0,6,9.814
0,4,10.914
0,2,7.734
4096,0,176.022
0,1,8.347
0,1,8.447
0,1,8.464
0,1,8.528
0,1,8.446
0,1,8.463
0,1,8.543
4096,0,324.269
8191,1,247.009
4097,2,92.713
0,4,34.083
0,4,8.761
0,4,12.180
0,4,6.271
0,4,11.828
0,3,7.077
0,2,9.101
4096,0,320.583
8191,1,310.838
8190,2,310.964
8188,4,311.013
8186,6,311.098
8184,8,311.164
8182,10,311.142
8180,12,248.177
4139,13,93.235
