phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,1052,6455747604434466821,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,165.025
context,sweep,1053,6455747604434466821,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,73.854
context,sweep,1054,6455747604434466821,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,173.548
context,sweep,1055,6455747604434466821,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,31.730
context,sweep,1056,6455747604434466821,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,73.254
context,sweep,1057,6455747604434466821,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,173.146
context,sweep,1058,6455747604434466821,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,31.684
context,sweep,1059,6455747604434466821,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,70.418
context,sweep,1060,6455747604434466821,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,172.423
context,sweep,1061,6455747604434466821,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,31.400
context,sweep,1062,6455747604434466821,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,69.977
context,sweep,1063,6455747604434466821,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,172.462
context,sweep,1064,6455747604434466821,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,31.593
context,sweep,1065,6455747604434466821,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,69.076
context,sweep,1066,6455747604434466821,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,172.309
context,sweep,1067,6455747604434466821,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,31.473
context,sweep,1068,6455747604434466821,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,69.575
context,sweep,1069,6455747604434466821,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,172.329
context,sweep,1075,6455747604434466821,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,175.904
decode,sweep,1076,6455747604434466821,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,8.392
decode,sweep,1077,6455747604434466821,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,8.451
decode,sweep,1078,6455747604434466821,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,8.500
decode,sweep,1079,6455747604434466821,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,8.514
decode,sweep,1080,6455747604434466821,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,8.466
decode,sweep,1081,6455747604434466821,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,8.457
decode,sweep,1082,6455747604434466821,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,8.564
context,sweep,1089,6455747604434466821,0,4096,1,0,0.000,0,0,0.000,1,4096,0.000,0,0,0.000,770.467
mixed,sweep,1090,6455747604434466821,0,8191,2,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,304.565
mixed,sweep,1091,6455747604434466821,0,4097,2,4095,0.000,2,8193,0.250,0,0,0.000,0,0,0.000,92.421
decode,sweep,1092,6455747604434466821,0,0,0,0,0.000,4,16387,0.688,0,0,0.000,0,0,0.000,33.138
decode,sweep,1093,6455747604434466821,0,0,0,0,0.000,4,16391,0.688,0,0,0.000,0,0,0.000,8.774
decode,sweep,1094,6455747604434466821,0,0,0,0,0.000,4,16395,0.688,0,0,0.000,0,0,0.000,28.134
decode,sweep,1095,6455747604434466821,0,0,0,0,0.000,4,16399,0.688,0,0,0.000,0,0,0.000,29.968
decode,sweep,1096,6455747604434466821,0,0,0,0,0.000,4,16403,0.688,0,0,0.000,0,0,0.000,10.835
decode,sweep,1097,6455747604434466821,0,0,0,0,0.000,3,12304,0.222,0,0,0.000,0,0,0.000,7.753
decode,sweep,1098,6455747604434466821,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,8.746
context,sweep,1105,6455747604434466821,0,4096,1,0,0.000,0,0,0.000,13,53248,0.000,0,0,0.000,320.735
mixed,sweep,1106,6455747604434466821,0,8191,2,0,0.000,1,4096,0.000,11,45056,0.000,0,0,0.000,334.031
mixed,sweep,1107,6455747604434466821,0,8190,3,4095,0.000,2,8193,0.250,9,36864,0.000,0,0,0.000,372.072
mixed,sweep,1108,6455747604434466821,0,8188,3,4093,0.000,4,16387,0.688,7,28672,0.000,0,0,0.000,477.020
mixed,sweep,1109,6455747604434466821,0,8186,3,4089,0.000,6,24583,1.139,5,20480,0.000,0,0,0.000,184.376
mixed,sweep,1110,6455747604434466821,0,8184,3,4083,0.000,8,32781,1.734,3,12288,0.000,0,0,0.000,311.101
mixed,sweep,1111,6455747604434466821,0,8182,3,4075,0.000,10,40981,2.490,1,4096,0.000,0,0,0.000,311.146
mixed,sweep,1112,6455747604434466821,0,8180,3,4065,0.000,12,49183,3.410,0,0,0.000,0,0,0.000,248.400
mixed,sweep,1113,6455747604434466821,0,4139,2,4053,0.000,13,53284,3.562,0,0,0.000,0,0,0.000,94.757
decode,sweep,1114,6455747604434466821,0,0,0,0,0.000,14,57386,4.000,0,0,0.000,0,0,0.000,33.588
decode,sweep,1115,6455747604434466821,0,0,0,0,0.000,12,49194,2.917,0,0,0.000,0,0,0.000,29.955
