phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,1052,6455747604434466821,0,128,1,0,0,0,0,0.000,0,0,0,0,165.025
context,sweep,1053,6455747604434466821,0,1024,1,0,0,0,0,0.000,0,0,0,0,73.854
context,sweep,1054,6455747604434466821,0,4096,1,0,0,0,0,0.000,0,0,0,0,173.548
context,sweep,1055,6455747604434466821,0,128,1,0,0,0,0,0.000,0,0,0,0,31.730
context,sweep,1056,6455747604434466821,0,1024,1,0,0,0,0,0.000,0,0,0,0,73.254
context,sweep,1057,6455747604434466821,0,4096,1,0,0,0,0,0.000,0,0,0,0,173.146
context,sweep,1058,6455747604434466821,0,128,1,0,0,0,0,0.000,0,0,0,0,31.684
context,sweep,1059,6455747604434466821,0,1024,1,0,0,0,0,0.000,0,0,0,0,70.418
context,sweep,1060,6455747604434466821,0,4096,1,0,0,0,0,0.000,0,0,0,0,172.423
context,sweep,1061,6455747604434466821,0,128,1,0,0,0,0,0.000,0,0,0,0,31.400
context,sweep,1062,6455747604434466821,0,1024,1,0,0,0,0,0.000,0,0,0,0,69.977
context,sweep,1063,6455747604434466821,0,4096,1,0,0,0,0,0.000,0,0,0,0,172.462
context,sweep,1064,6455747604434466821,0,128,1,0,0,0,0,0.000,0,0,0,0,31.593
context,sweep,1065,6455747604434466821,0,1024,1,0,0,0,0,0.000,0,0,0,0,69.076
context,sweep,1066,6455747604434466821,0,4096,1,0,0,0,0,0.000,0,0,0,0,172.309
context,sweep,1067,6455747604434466821,0,128,1,0,0,0,0,0.000,0,0,0,0,31.473
context,sweep,1068,6455747604434466821,0,1024,1,0,0,0,0,0.000,0,0,0,0,69.575
context,sweep,1069,6455747604434466821,0,4096,1,0,0,0,0,0.000,0,0,0,0,172.329
context,sweep,1075,6455747604434466821,0,4096,1,0,0,0,0,0.000,0,0,0,0,175.904
decode,sweep,1076,6455747604434466821,0,0,0,0,1,1,4096,4096.000,0,0,0,0,8.392
decode,sweep,1077,6455747604434466821,0,0,0,0,1,1,4097,4097.000,0,0,0,0,8.451
decode,sweep,1078,6455747604434466821,0,0,0,0,1,1,4098,4098.000,0,0,0,0,8.500
decode,sweep,1079,6455747604434466821,0,0,0,0,1,1,4099,4099.000,0,0,0,0,8.514
decode,sweep,1080,6455747604434466821,0,0,0,0,1,1,4100,4100.000,0,0,0,0,8.466
decode,sweep,1081,6455747604434466821,0,0,0,0,1,1,4101,4101.000,0,0,0,0,8.457
decode,sweep,1082,6455747604434466821,0,0,0,0,1,1,4102,4102.000,0,0,0,0,8.564
context,sweep,1089,6455747604434466821,0,4096,1,0,0,0,0,0.000,4096,1,0,0,770.467
mixed,sweep,1090,6455747604434466821,0,8191,2,0,1,1,4096,4096.000,0,0,0,0,304.565
mixed,sweep,1091,6455747604434466821,0,4097,2,4095,2,2,8193,4096.500,0,0,0,0,92.421
decode,sweep,1092,6455747604434466821,0,0,0,0,4,4,16387,4096.750,0,0,0,0,33.138
decode,sweep,1093,6455747604434466821,0,0,0,0,4,4,16391,4097.750,0,0,0,0,8.774
decode,sweep,1094,6455747604434466821,0,0,0,0,4,4,16395,4098.750,0,0,0,0,28.134
decode,sweep,1095,6455747604434466821,0,0,0,0,4,4,16399,4099.750,0,0,0,0,29.968
decode,sweep,1096,6455747604434466821,0,0,0,0,4,4,16403,4100.750,0,0,0,0,10.835
decode,sweep,1097,6455747604434466821,0,0,0,0,3,3,12304,4101.333,0,0,0,0,7.753
decode,sweep,1098,6455747604434466821,0,0,0,0,2,2,8204,4102.000,0,0,0,0,8.746
context,sweep,1105,6455747604434466821,0,4096,1,0,0,0,0,0.000,53248,13,0,0,320.735
mixed,sweep,1106,6455747604434466821,0,8191,2,0,1,1,4096,4096.000,45056,11,0,0,334.031
mixed,sweep,1107,6455747604434466821,0,8190,3,4095,2,2,8193,4096.500,36864,9,0,0,372.072
mixed,sweep,1108,6455747604434466821,0,8188,3,4093,4,4,16387,4096.750,28672,7,0,0,477.020
mixed,sweep,1109,6455747604434466821,0,8186,3,4089,6,6,24583,4097.167,20480,5,0,0,184.376
mixed,sweep,1110,6455747604434466821,0,8184,3,4083,8,8,32781,4097.625,12288,3,0,0,311.101
mixed,sweep,1111,6455747604434466821,0,8182,3,4075,10,10,40981,4098.100,4096,1,0,0,311.146
mixed,sweep,1112,6455747604434466821,0,8180,3,4065,12,12,49183,4098.583,0,0,0,0,248.400
mixed,sweep,1113,6455747604434466821,0,4139,2,4053,13,13,53284,4098.769,0,0,0,0,94.757
decode,sweep,1114,6455747604434466821,0,0,0,0,14,14,57386,4099.000,0,0,0,0,33.588
