phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,1045,2643417971761755901,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,17.111
context,sweep,1046,2643417971761755901,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,46.573
context,sweep,1047,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,204.237
context,sweep,1048,2643417971761755901,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,16.413
context,sweep,1049,2643417971761755901,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,51.607
context,sweep,1050,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,208.282
context,sweep,1051,2643417971761755901,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,15.941
context,sweep,1052,2643417971761755901,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,53.633
context,sweep,1053,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,205.044
context,sweep,1054,2643417971761755901,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,16.065
context,sweep,1055,2643417971761755901,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,52.561
context,sweep,1056,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,202.283
context,sweep,1057,2643417971761755901,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,15.971
context,sweep,1058,2643417971761755901,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,54.493
context,sweep,1059,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,204.154
context,sweep,1060,2643417971761755901,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,16.028
context,sweep,1061,2643417971761755901,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,53.678
context,sweep,1062,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,207.508
context,sweep,1069,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,200.934
decode,sweep,1070,2643417971761755901,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,14.252
decode,sweep,1071,2643417971761755901,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,14.168
decode,sweep,1072,2643417971761755901,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,13.782
decode,sweep,1073,2643417971761755901,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,13.769
decode,sweep,1074,2643417971761755901,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,13.725
decode,sweep,1075,2643417971761755901,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,13.517
decode,sweep,1076,2643417971761755901,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,13.535
