phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,1045,2643417971761755901,0,128,1,0,0,0,0,0.000,0,0,0,0,17.111
context,sweep,1046,2643417971761755901,0,1024,1,0,0,0,0,0.000,0,0,0,0,46.573
context,sweep,1047,2643417971761755901,0,4096,1,0,0,0,0,0.000,0,0,0,0,204.237
context,sweep,1048,2643417971761755901,0,128,1,0,0,0,0,0.000,0,0,0,0,16.413
context,sweep,1049,2643417971761755901,0,1024,1,0,0,0,0,0.000,0,0,0,0,51.607
context,sweep,1050,2643417971761755901,0,4096,1,0,0,0,0,0.000,0,0,0,0,208.282
context,sweep,1051,2643417971761755901,0,128,1,0,0,0,0,0.000,0,0,0,0,15.941
context,sweep,1052,2643417971761755901,0,1024,1,0,0,0,0,0.000,0,0,0,0,53.633
context,sweep,1053,2643417971761755901,0,4096,1,0,0,0,0,0.000,0,0,0,0,205.044
context,sweep,1054,2643417971761755901,0,128,1,0,0,0,0,0.000,0,0,0,0,16.065
context,sweep,1055,2643417971761755901,0,1024,1,0,0,0,0,0.000,0,0,0,0,52.561
context,sweep,1056,2643417971761755901,0,4096,1,0,0,0,0,0.000,0,0,0,0,202.283
context,sweep,1057,2643417971761755901,0,128,1,0,0,0,0,0.000,0,0,0,0,15.971
context,sweep,1058,2643417971761755901,0,1024,1,0,0,0,0,0.000,0,0,0,0,54.493
context,sweep,1059,2643417971761755901,0,4096,1,0,0,0,0,0.000,0,0,0,0,204.154
context,sweep,1060,2643417971761755901,0,128,1,0,0,0,0,0.000,0,0,0,0,16.028
context,sweep,1061,2643417971761755901,0,1024,1,0,0,0,0,0.000,0,0,0,0,53.678
context,sweep,1062,2643417971761755901,0,4096,1,0,0,0,0,0.000,0,0,0,0,207.508
context,sweep,1069,2643417971761755901,0,4096,1,0,0,0,0,0.000,0,0,0,0,200.934
decode,sweep,1070,2643417971761755901,0,0,0,0,1,1,4096,4096.000,0,0,0,0,14.252
decode,sweep,1071,2643417971761755901,0,0,0,0,1,1,4097,4097.000,0,0,0,0,14.168
decode,sweep,1072,2643417971761755901,0,0,0,0,1,1,4098,4098.000,0,0,0,0,13.782
decode,sweep,1073,2643417971761755901,0,0,0,0,1,1,4099,4099.000,0,0,0,0,13.769
decode,sweep,1074,2643417971761755901,0,0,0,0,1,1,4100,4100.000,0,0,0,0,13.725
decode,sweep,1075,2643417971761755901,0,0,0,0,1,1,4101,4101.000,0,0,0,0,13.517
decode,sweep,1076,2643417971761755901,0,0,0,0,1,1,4102,4102.000,0,0,0,0,13.535
context,sweep,1083,2643417971761755901,0,4096,1,0,0,0,0,0.000,4096,1,0,0,210.505
mixed,sweep,1084,2643417971761755901,0,8191,2,0,1,1,4096,4096.000,0,0,0,0,408.925
mixed,sweep,1085,2643417971761755901,0,4097,2,4095,2,2,8193,4096.500,0,0,0,0,204.148
decode,sweep,1086,2643417971761755901,0,0,0,0,4,4,16387,4096.750,0,0,0,0,14.794
decode,sweep,1087,2643417971761755901,0,0,0,0,4,4,16391,4097.750,0,0,0,0,14.840
decode,sweep,1088,2643417971761755901,0,0,0,0,4,4,16395,4098.750,0,0,0,0,14.251
decode,sweep,1089,2643417971761755901,0,0,0,0,4,4,16399,4099.750,0,0,0,0,14.028
decode,sweep,1090,2643417971761755901,0,0,0,0,4,4,16403,4100.750,0,0,0,0,13.976
decode,sweep,1091,2643417971761755901,0,0,0,0,3,3,12304,4101.333,0,0,0,0,13.637
decode,sweep,1092,2643417971761755901,0,0,0,0,2,2,8204,4102.000,0,0,0,0,13.547
context,sweep,1100,2643417971761755901,0,4096,1,0,0,0,0,0.000,0,0,0,0,206.697
mixed,sweep,1101,2643417971761755901,0,4096,1,0,1,1,4096,4096.000,49152,12,0,0,211.124
mixed,sweep,1102,2643417971761755901,0,8190,2,0,2,2,8193,4096.500,40960,10,0,0,410.372
mixed,sweep,1103,2643417971761755901,0,8189,3,4094,3,3,12291,4097.000,32768,8,0,0,408.291
mixed,sweep,1104,2643417971761755901,0,8187,3,4091,5,5,20486,4097.200,24576,6,0,0,807.636
mixed,sweep,1105,2643417971761755901,0,8185,3,4086,7,7,28683,4097.571,16384,4,0,0,11.508
mixed,sweep,1106,2643417971761755901,0,8183,3,4079,9,9,36882,4098.000,8192,2,0,0,409.790
mixed,sweep,1107,2643417971761755901,0,8181,3,4070,11,11,45083,4098.455,0,0,0,0,410.867
mixed,sweep,1108,2643417971761755901,0,8180,3,4059,12,12,49183,4098.583,0,0,0,0,404.508
mixed,sweep,1109,2643417971761755901,0,49,1,4047,13,13,53284,4098.769,0,0,0,0,16.730
decode,sweep,1110,2643417971761755901,0,0,0,0,13,13,53290,4099.231,0,0,0,0,16.276
decode,sweep,1111,2643417971761755901,0,0,0,0,11,11,45097,4099.727,0,0,0,0,15.403
decode,sweep,1112,2643417971761755901,0,0,0,0,9,9,36902,4100.222,0,0,0,0,14.930
decode,sweep,1113,2643417971761755901,0,0,0,0,7,7,28705,4100.714,0,0,0,0,14.183
decode,sweep,1114,2643417971761755901,0,0,0,0,5,5,20506,4101.200,0,0,0,0,13.882
decode,sweep,1115,2643417971761755901,0,0,0,0,3,3,12305,4101.667,0,0,0,0,13.589
decode,sweep,1116,2643417971761755901,0,0,0,0,1,1,4102,4102.000,0,0,0,0,13.341
context,sweep,1123,2643417971761755901,0,4096,1,0,0,0,0,0.000,0,0,0,0,194.919
decode,sweep,1124,2643417971761755901,0,0,0,0,1,1,4096,4096.000,0,0,0,0,14.310
decode,sweep,1125,2643417971761755901,0,0,0,0,1,1,4097,4097.000,0,0,0,0,14.300
decode,sweep,1126,2643417971761755901,0,0,0,0,1,1,4098,4098.000,0,0,0,0,14.123
decode,sweep,1127,2643417971761755901,0,0,0,0,1,1,4099,4099.000,0,0,0,0,13.539
decode,sweep,1128,2643417971761755901,0,0,0,0,1,1,4100,4100.000,0,0,0,0,13.526
decode,sweep,1129,2643417971761755901,0,0,0,0,1,1,4101,4101.000,0,0,0,0,13.501
decode,sweep,1130,2643417971761755901,0,0,0,0,1,1,4102,4102.000,0,0,0,0,13.505
context,sweep,1138,2643417971761755901,0,4096,1,0,0,0,0,0.000,4096,1,0,0,210.787
mixed,sweep,1139,2643417971761755901,0,8191,2,0,1,1,4096,4096.000,0,0,0,0,407.328
mixed,sweep,1140,2643417971761755901,0,4097,2,4095,2,2,8193,4096.500,0,0,0,0,204.335
decode,sweep,1141,2643417971761755901,0,0,0,0,4,4,16387,4096.750,0,0,0,0,14.797
decode,sweep,1142,2643417971761755901,0,0,0,0,4,4,16391,4097.750,0,0,0,0,14.879
decode,sweep,1143,2643417971761755901,0,0,0,0,4,4,16395,4098.750,0,0,0,0,14.562
