num_context_tokens,num_decode_tokens,latency_ms
128,0,13.218
1024,0,30.232
4096,0,113.247
128,0,12.916
1024,0,34.020
4096,0,115.108
128,0,11.197
1024,0,33.512
4096,0,114.748
128,0,11.034
1024,0,33.229
4096,0,114.905
128,0,11.051
1024,0,33.733
4096,0,117.214
128,0,11.008
1024,0,32.865
4096,0,115.735
4096,0,113.994
0,1,9.111
0,1,9.077
0,1,9.132
0,1,9.123
0,1,8.953
0,1,8.709
0,1,8.629
4096,0,112.377
0,1,8.919
8191,1,228.091
4097,2,123.631
0,4,9.361
0,4,9.425
0,4,9.400
0,4,9.424
0,3,803.263
0,3,8.618
0,2,8.466
4096,0,113.465
0,1,8.965
8191,1,227.546
8190,2,236.059
8188,4,236.049
8186,6,237.938
8184,8,235.952
8182,10,235.370
8181,11,237.225
4138,13,126.224
0,14,10.164
0,12,9.998
0,10,9.785
0,8,9.238
0,6,9.174
0,4,9.013
0,2,8.771
4096,0,113.009
0,1,8.968
0,1,8.945
0,1,8.839
0,1,8.893
0,1,8.911
0,1,8.685
0,1,8.561
8192,0,223.571
8190,2,231.345
2,3,14.303
0,4,9.481
0,4,9.395
0,4,9.155
0,4,8.969
0,4,8.953
0,2,8.617
0,1,8.467
4096,0,113.050
0,1,8.874
8191,1,227.911
8190,2,237.394
8188,4,236.380
8186,6,236.511
8184,8,237.157
8182,10,236.320
8181,11,237.007
4138,13,126.009
0,14,10.094
0,12,10.045
0,10,9.954
0,8,9.617
0,6,9.433
0,4,8.919
0,2,8.636
4096,0,114.079
0,1,8.983
0,1,8.952
0,1,8.765
0,1,8.811
0,1,8.760
0,1,8.695
0,1,8.620
4096,0,114.924
0,1,8.945
8191,1,226.152
4097,2,123.265
0,4,9.405
0,4,9.246
0,4,9.087
0,4,9.166
0,3,8.905
0,3,9.078
0,2,8.937
4096,0,115.186
4096,1,121.262
8190,2,231.651
8189,3,236.914
8187,5,236.606
8185,7,237.425
8183,9,237.097
8181,11,236.964
8180,12,236.963
49,13,15.075
0,13,10.067
0,11,9.919
0,9,9.861
0,7,9.417
0,5,9.023
0,3,8.724
0,1,8.457
4096,0,113.223
0,1,9.027
0,1,9.129
0,1,9.141
0,1,9.184
0,1,9.057
0,1,9.028
0,1,8.750
4096,0,114.379
0,1,8.991
8191,1,227.889
4097,2,123.803
0,4,9.425
0,4,9.400
0,4,9.399
0,4,9.275
0,3,8.935
0,3,9.062
0,2,8.843
4096,0,113.643
0,1,8.935
8191,1,226.124
8190,2,236.695
8188,4,237.508
8186,6,236.455
8184,8,237.255
8182,10,236.909
8181,11,236.723
4138,13,126.164
0,14,10.195
0,12,9.847
0,10,9.688
0,8,9.265
0,6,9.157
0,4,9.091
0,2,8.725
4096,0,114.061
0,1,9.032
0,1,9.083
0,1,9.126
0,1,9.104
0,1,9.177
0,1,8.898
0,1,8.620
4096,0,113.101
0,1,8.992
8191,1,225.995
4097,2,123.775
0,4,9.391
0,4,9.330
0,4,9.205
0,4,9.209
0,3,8.924
0,3,9.087
0,2,8.902
4096,0,115.651
0,1,8.933
8191,1,226.160
8190,2,234.501
8188,4,237.135
8186,6,234.870
8184,8,235.834
8182,10,236.616
8181,11,236.451
4138,13,126.352
0,14,10.163
0,12,10.033
0,10,9.934
0,8,9.575
0,6,9.421
0,4,9.087
0,2,8.615
4096,0,113.563
0,1,9.003
0,1,9.107
0,1,9.129
0,1,9.162
0,1,9.079
0,1,8.863
0,1,8.773
4096,0,112.766
0,1,9.005
8191,1,225.862
4097,2,123.623
0,4,9.413
0,4,9.251
0,4,9.027
0,4,9.171
0,3,8.863
0,3,8.931
0,2,8.737
