workload_label,request_index,endpoint,target_isl,target_osl,prompt_tokens,max_tokens,prompt_token_mode,shape_source
context,4,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,5,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,6,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,7,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,8,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,9,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,10,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,11,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,12,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,13,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,14,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,15,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,16,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,17,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,18,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,19,completions,128,1,128,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,20,completions,1024,1,1024,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
context,21,completions,4096,1,4096,1,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,22,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,23,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,24,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,25,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,26,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,27,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,28,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,29,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,30,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,31,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,32,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,33,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,34,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,35,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,36,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,37,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,38,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,39,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,40,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,41,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,42,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b1,43,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,44,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,45,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,46,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b4,47,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
decode_b16,48,completions,4096,8,4096,8,random_vocab_excluding_special,explicit_or_logspace_shape_grid
