phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
context,sweep,1057,10657815964715579376,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,257.069
context,sweep,1058,10657815964715579376,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,49.599
context,sweep,1059,10657815964715579376,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,47.394
context,sweep,1060,10657815964715579376,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,41.654
context,sweep,1061,10657815964715579376,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,15.936
context,sweep,1062,10657815964715579376,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,40.711
context,sweep,1063,10657815964715579376,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,40.394
context,sweep,1064,10657815964715579376,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,38.988
context,sweep,1065,10657815964715579376,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,16.086
context,sweep,1066,10657815964715579376,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,40.180
context,sweep,1067,10657815964715579376,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,40.261
context,sweep,1068,10657815964715579376,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,39.048
context,sweep,1069,10657815964715579376,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,15.633
context,sweep,1070,10657815964715579376,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,39.938
context,sweep,1071,10657815964715579376,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,40.130
context,sweep,1072,10657815964715579376,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,38.759
context,sweep,1073,10657815964715579376,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,15.596
context,sweep,1074,10657815964715579376,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,40.059
context,sweep,1075,10657815964715579376,0,3168,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,40.383
context,sweep,1076,10657815964715579376,0,928,1,3168,0.000,0,0,0.000,0,0,0.000,0,0,0.000,38.364
context,sweep,1077,10657815964715579376,0,128,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,15.514
context,sweep,1078,10657815964715579376,0,1024,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,39.981
