phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,1057,4386241938200856669,0,128,1,0,0,0,0,0.000,0,0,0,0,274.383
context,sweep,1058,4386241938200856669,0,816,1,0,0,0,0,0.000,0,0,0,0,55.415
context,sweep,1059,4386241938200856669,0,208,1,816,0,0,0,0.000,0,0,0,0,18.532
context,sweep,1060,4386241938200856669,0,4080,1,0,0,0,0,0.000,0,0,0,0,48.615
context,sweep,1061,4386241938200856669,0,16,1,4080,0,0,0,0.000,0,0,0,0,18.456
context,sweep,1062,4386241938200856669,0,128,1,0,0,0,0,0.000,0,0,0,0,16.814
context,sweep,1063,4386241938200856669,0,816,1,0,0,0,0,0.000,0,0,0,0,43.523
context,sweep,1064,4386241938200856669,0,208,1,816,0,0,0,0.000,0,0,0,0,16.680
context,sweep,1065,4386241938200856669,0,4080,1,0,0,0,0,0.000,0,0,0,0,45.123
context,sweep,1066,4386241938200856669,0,16,1,4080,0,0,0,0.000,0,0,0,0,16.438
context,sweep,1067,4386241938200856669,0,128,1,0,0,0,0,0.000,0,0,0,0,16.803
context,sweep,1068,4386241938200856669,0,816,1,0,0,0,0,0.000,0,0,0,0,42.549
context,sweep,1069,4386241938200856669,0,208,1,816,0,0,0,0.000,0,0,0,0,16.621
context,sweep,1070,4386241938200856669,0,4080,1,0,0,0,0,0.000,0,0,0,0,45.488
context,sweep,1071,4386241938200856669,0,16,1,4080,0,0,0,0.000,0,0,0,0,16.759
context,sweep,1072,4386241938200856669,0,128,1,0,0,0,0,0.000,0,0,0,0,16.502
context,sweep,1073,4386241938200856669,0,816,1,0,0,0,0,0.000,0,0,0,0,42.796
context,sweep,1074,4386241938200856669,0,208,1,816,0,0,0,0.000,0,0,0,0,16.619
context,sweep,1075,4386241938200856669,0,4080,1,0,0,0,0,0.000,0,0,0,0,44.493
context,sweep,1076,4386241938200856669,0,16,1,4080,0,0,0,0.000,0,0,0,0,16.591
context,sweep,1077,4386241938200856669,0,128,1,0,0,0,0,0.000,0,0,0,0,16.510
context,sweep,1078,4386241938200856669,0,816,1,0,0,0,0,0.000,0,0,0,0,42.232
