framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,1,2048,256,8,256,1,1,power_law_1.2,0.0194240003824234,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,2,2048,256,8,256,1,1,power_law_1.2,0.0241791993379592,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,4,2048,256,8,256,1,1,power_law_1.2,0.0343679994344711,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,8,2048,256,8,256,1,1,power_law_1.2,0.0597055971622467,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,128,2048,256,8,256,1,1,power_law_1.2,0.1474688053131103,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,1024,2048,256,8,256,1,1,power_law_1.2,0.2446208000183105,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,1,2048,256,8,256,2,1,power_law_1.2,0.0194688007235527,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,2,2048,256,8,256,2,1,power_law_1.2,0.0230655997991561,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,4,2048,256,8,256,2,1,power_law_1.2,0.0293951988220214,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,8,2048,256,8,256,2,1,power_law_1.2,0.0396288007497787,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,128,2048,256,8,256,2,1,power_law_1.2,0.0991360008716583,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe,bfloat16,1024,2048,256,8,256,2,1,power_law_1.2,0.171884799003601,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,1,1,power_law_1.2,0.015718400478363,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,1,1,power_law_1.2,0.0212224006652832,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,1,1,power_law_1.2,0.0416512012481689,,,,
