framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,256,8,256,1,1,power_law_1.2,0.01462399959564209,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,256,8,256,1,1,power_law_1.2,0.016543999314308167,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,256,8,256,1,1,power_law_1.2,0.025407999753952026,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,256,8,256,1,1,power_law_1.2,0.03978239893913269,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,128,2048,256,8,256,1,1,power_law_1.2,0.11404800415039062,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1024,2048,256,8,256,1,1,power_law_1.2,0.17384320497512817,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,256,8,256,2,1,power_law_1.2,0.014060799777507783,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,256,8,256,2,1,power_law_1.2,0.014899200201034546,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,256,8,256,2,1,power_law_1.2,0.01907840073108673,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,256,8,256,2,1,power_law_1.2,0.02500480115413666,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,128,2048,256,8,256,2,1,power_law_1.2,0.06974080204963684,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1024,2048,256,8,256,2,1,power_law_1.2,0.11527040004730224,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,1,1,power_law_1.2,0.015321600437164306,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,1,1,power_law_1.2,0.020710399746894835,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,1,1,power_law_1.2,0.040608000755310056,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,1,1,power_law_1.2,0.063673597574234,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,1,1,power_law_1.2,0.09012479782104492,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,128,2048,512,8,256,1,1,power_law_1.2,0.20775680541992186,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1024,2048,512,8,256,1,1,power_law_1.2,0.31680641174316404,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4096,2048,512,8,256,1,1,power_law_1.2,0.4196479797363281,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,2,1,power_law_1.2,0.014508800208568573,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,2,1,power_law_1.2,0.016543999314308167,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,2,1,power_law_1.2,0.025516799092292784,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,2,1,power_law_1.2,0.040249601006507874,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,2,1,power_law_1.2,0.05545600056648255,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,128,2048,512,8,256,2,1,power_law_1.2,0.11485439538955688,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1024,2048,512,8,256,2,1,power_law_1.2,0.1776128053665161,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4096,2048,512,8,256,2,1,power_law_1.2,0.24343039989471435,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,1,1,sampled_zipf_1.2,0.016773333152135212,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,1,1,sampled_zipf_1.2,0.021173333128293354,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,3,2048,512,8,256,1,1,sampled_zipf_1.2,0.03086400032043457,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,1,1,sampled_zipf_1.2,0.03341866781314214,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,5,2048,512,8,256,1,1,sampled_zipf_1.2,0.039936001102129616,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,6,2048,512,8,256,1,1,sampled_zipf_1.2,0.03654933224121729,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,7,2048,512,8,256,1,1,sampled_zipf_1.2,0.04258666435877482,,,,True
