framework,framework_version,system,model,attn_tp,moe_tp,ep,num_slots,gemm_quant,moe_quant,attn_quant,kv_quant,phase,batch_size,new_tokens,past_kv,layer_type,layer_index,measured_layer_count,layer_multiplier,latency_ms,rms_latency_ms,rms_kernel_count,includes_moe,moe_weight_mode,latency_source,physical_gpus,max_num_seqs,max_num_batched_tokens,vllm_config_hash
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,1,1,8192,dense,0,64,64,29.611619655042887,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,1,1,16384,dense,0,64,64,23.49714667070657,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,1,1,32768,dense,0,64,64,23.676868993788958,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,2,1,8192,dense,0,64,64,27.218276324371498,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,2,1,16384,dense,0,64,64,33.97805034182966,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,2,1,32768,dense,0,64,64,26.124465318086248,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,4,1,8192,dense,0,64,64,14.989140365893642,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,4,1,16384,dense,0,64,64,27.124535331192117,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,4,1,32768,dense,0,64,64,42.826484655961394,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,8,1,8192,dense,0,64,64,38.35853499670824,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,8,1,16384,dense,0,64,64,34.65763630811125,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
