framework,framework_version,system,model,attn_tp,moe_tp,ep,num_slots,gemm_quant,moe_quant,attn_quant,kv_quant,phase,batch_size,new_tokens,past_kv,layer_type,layer_index,measured_layer_count,layer_multiplier,latency_ms,rms_latency_ms,rms_kernel_count,includes_moe,moe_weight_mode,latency_source,physical_gpus,max_num_seqs,max_num_batched_tokens,vllm_config_hash
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,1,1,8192,dense,0,64,64,13.431627667159773,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,1,1,16384,dense,0,64,64,12.996979668969288,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,1,1,32768,dense,0,64,64,14.36597500287462,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,2,1,8192,dense,0,64,64,14.483906998066232,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,2,1,16384,dense,0,64,64,14.197753994570425,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,2,1,32768,dense,0,64,64,15.369508328149095,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,4,1,8192,dense,0,64,64,14.370788335024068,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,4,1,16384,dense,0,64,64,16.34375266439747,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,4,1,32768,dense,0,64,64,17.74490099827138,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,8,1,8192,dense,0,64,64,15.305025997804478,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,8,1,16384,dense,0,64,64,17.789420327365708,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,8,1,32768,dense,0,64,64,22.362384004130337,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,16,1,8192,dense,0,64,64,17.023107002993736,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,16,1,16384,dense,0,64,64,22.49002933482795,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,16,1,32768,dense,0,64,64,31.979848329986755,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,32,1,8192,dense,0,64,64,22.311468332190998,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,gen,32,1,16384,dense,0,64,64,32.65944966794147,0.0,0,False,dense,schedule_to_update,1,256,2048,4ab23597c7fb8376
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,1,1,1,dense,0,64,64,7.845631957054138,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,1,1,16,dense,0,64,64,7.834231853485107,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,1,1,128,dense,0,64,64,7.84229588508606,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,1,1,256,dense,0,64,64,8.026992082595825,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,1,1,512,dense,0,64,64,7.940703868865967,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,1,1,1024,dense,0,64,64,7.888344168663025,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,1,1,2048,dense,0,64,64,7.928848028182983,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,1,1,4096,dense,0,64,64,8.000439882278442,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,2,1,1,dense,0,64,64,7.876288056373596,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,2,1,16,dense,0,64,64,7.879160165786743,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,2,1,128,dense,0,64,64,7.887303829193115,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,2,1,256,dense,0,64,64,8.094687938690186,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,2,1,512,dense,0,64,64,7.902711868286133,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,2,1,1024,dense,0,64,64,7.948543906211853,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,2,1,2048,dense,0,64,64,8.001864075660706,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,2,1,4096,dense,0,64,64,8.136912107467651,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,4,1,1,dense,0,64,64,7.908175945281982,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,4,1,16,dense,0,64,64,8.001871943473816,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,4,1,128,dense,0,64,64,7.9143359661102295,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,4,1,256,dense,0,64,64,8.108935952186584,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,4,1,512,dense,0,64,64,7.940952181816101,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,4,1,1024,dense,0,64,64,7.985416054725647,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,4,1,2048,dense,0,64,64,8.083591938018799,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,4,1,4096,dense,0,64,64,8.239975690841675,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,8,1,1,dense,0,64,64,7.815656065940857,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,8,1,16,dense,0,64,64,7.819704174995422,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,8,1,128,dense,0,64,64,7.823559999465942,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,8,1,256,dense,0,64,64,7.829247951507568,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,8,1,512,dense,0,64,64,7.855936050415039,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,8,1,1024,dense,0,64,64,7.942504048347473,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,2,1,1,,bf16,bf16,bf16,bf16,gen,8,1,2048,dense,0,64,64,8.079880237579346,0.0,0,False,dense,schedule_to_update,1,256,2048,dfcaad16eef45c9d
