framework,framework_version,system,model,attn_tp,moe_tp,ep,num_slots,gemm_quant,moe_quant,attn_quant,kv_quant,phase,batch_size,new_tokens,past_kv,layer_type,layer_index,measured_layer_count,layer_multiplier,latency_ms,rms_latency_ms,rms_kernel_count,includes_moe,moe_weight_mode,latency_source,physical_gpus,max_num_seqs,max_num_batched_tokens,vllm_config_hash
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,1,0,moe,0,40,40,3.635352075099945,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,16,0,moe,0,40,40,32.872191429138184,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,128,0,moe,0,40,40,32.83185577392578,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,256,0,moe,0,40,40,33.07431125640869,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,512,0,moe,0,40,40,32.92416000366211,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,1024,0,moe,0,40,40,46.101823806762695,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,2048,0,moe,0,40,40,46.03579235076904,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,4096,0,moe,0,40,40,46.034687995910645,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,8192,0,moe,0,40,40,46.43955135345459,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,1,16,moe,0,40,40,33.098487854003906,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,16,16,moe,0,40,40,33.07348728179932,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,128,16,moe,0,40,40,32.92204761505127,0.0,0,False,noop,execute_model_gpu,1,128,2048,5886c4dd20207178
