framework,framework_version,system,model,attn_tp,moe_tp,ep,num_slots,gemm_quant,moe_quant,attn_quant,kv_quant,phase,batch_size,new_tokens,past_kv,layer_type,layer_index,measured_layer_count,layer_multiplier,latency_ms,rms_latency_ms,rms_kernel_count,includes_moe,moe_weight_mode,latency_source,physical_gpus,max_num_seqs,max_num_batched_tokens,vllm_config_hash
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,128,0,moe,0,40,40,2.04174,0.188191,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,256,0,moe,0,40,40,2.087763,0.178596,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,512,0,moe,0,40,40,2.272501,0.205317,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,1024,0,moe,0,40,40,2.709433,0.330787,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,2048,0,moe,0,40,40,3.69581,0.5801649999999999,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,3696,0,moe,0,40,40,5.442826,0.9386,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,128,0,moe,0,40,40,2.011058,0.19478800000000002,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,256,0,moe,0,40,40,2.159962,0.201954,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,512,0,moe,0,40,40,2.558005,0.330274,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,1024,0,moe,0,40,40,3.468032,0.580519,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,2048,0,moe,0,40,40,5.338133,1.0108540000000001,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,4,128,0,moe,0,40,40,2.204375,0.20982499999999998,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,4,256,0,moe,0,40,40,2.558168,0.32925,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,4,512,0,moe,0,40,40,3.4477420000000003,0.581219,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,4,1024,0,moe,0,40,40,5.256400999999999,1.013139,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,8,128,0,moe,0,40,40,2.710137,0.332004,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,8,256,0,moe,0,40,40,3.569983,0.585033,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,8,512,0,moe,0,40,40,5.364369,1.012039,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,16,128,0,moe,0,40,40,3.793509,0.593382,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,16,256,0,moe,0,40,40,5.553749,1.014635,40,False,noop,gpu,1,,4096,1e3ad162aa77e585
