framework,framework_version,system,model,attn_tp,moe_tp,ep,num_slots,gemm_quant,moe_quant,attn_quant,kv_quant,phase,batch_size,new_tokens,past_kv,layer_type,layer_index,measured_layer_count,layer_multiplier,latency_ms,rms_latency_ms,rms_kernel_count,includes_moe,moe_weight_mode,latency_source,physical_gpus,max_num_seqs,max_num_batched_tokens,vllm_config_hash
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,128,0,moe,0,40,40,5.557475999999999,0.215938,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,256,0,moe,0,40,40,5.638752,0.223745,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,512,0,moe,0,40,40,6.069238,0.262783,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,1024,0,moe,0,40,40,7.205346,0.40368400000000004,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,2048,0,moe,0,40,40,9.823829,0.672293,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,1,3696,0,moe,0,40,40,14.665062,1.11258,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,128,0,moe,0,40,40,5.507616,0.225025,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,256,0,moe,0,40,40,5.90587,0.262593,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,512,0,moe,0,40,40,7.0115810000000005,0.404037,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,1024,0,moe,0,40,40,9.596638,0.673895,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,2,2048,0,moe,0,40,40,15.160671,1.210118,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,4,128,0,moe,0,40,40,5.940262,0.26349,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,4,256,0,moe,0,40,40,6.995134,0.40422800000000003,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,4,512,0,moe,0,40,40,9.582498,0.675429,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,4,1024,0,moe,0,40,40,15.028328,1.209547,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,8,128,0,moe,0,40,40,7.12854,0.405152,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,8,256,0,moe,0,40,40,9.691708,0.6772849999999999,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,8,512,0,moe,0,40,40,15.126149,1.211527,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,16,128,0,moe,0,40,40,9.900472,0.683022,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,4,1,4,,bf16,bf16,bf16,bf16,ctx,16,256,0,moe,0,40,40,15.316965,1.212357,80,True,real_router,gpu,1,,4096,1e3ad162aa77e585
