framework,framework_version,system,model,attn_tp,moe_tp,ep,num_slots,gemm_quant,moe_quant,attn_quant,kv_quant,phase,batch_size,new_tokens,past_kv,layer_type,layer_index,measured_layer_count,layer_multiplier,latency_ms,rms_latency_ms,rms_kernel_count,includes_moe,moe_weight_mode,latency_source,physical_gpus,max_num_batched_tokens,vllm_config_hash
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,0,full_attention_moe,3,1,10,16.12432,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,0,full_attention_moe,3,1,10,1.7285122499999999,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,0,full_attention_moe,3,1,10,0.85575025,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,256,0,full_attention_moe,3,1,10,0.8366702500000001,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,512,0,full_attention_moe,3,1,10,0.7957935,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,0,full_attention_moe,3,1,10,6.31583575,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,0,full_attention_moe,3,1,10,5.25110775,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,4096,0,full_attention_moe,3,1,10,5.811844750000001,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,8192,0,full_attention_moe,3,1,10,6.7113742499999995,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,16,full_attention_moe,3,1,10,0.91206875,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,16,16,full_attention_moe,3,1,10,0.86782725,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,16,full_attention_moe,3,1,10,0.88964475,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,256,16,full_attention_moe,3,1,10,1.821925,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,512,16,full_attention_moe,3,1,10,4.98064875,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,16,full_attention_moe,3,1,10,3.88941425,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,16,full_attention_moe,3,1,10,5.333448249999999,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,4096,16,full_attention_moe,3,1,10,3.9327385,0.0,0,True,dummy,span,1,,f36df3290d15e315
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3.6-35B-A3B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,8192,16,full_attention_moe,3,1,10,3.7449432500000004,0.0,0,True,dummy,span,1,,f36df3290d15e315
