Model,System,Backend,Version,Mode,Status,ErrMsg
GPT_OSS_120B,a100_sxm,trtllm,1.0.0,agg,FAIL,Configuration returned no results
GPT_OSS_120B,a100_sxm,trtllm,1.0.0,disagg,FAIL,Configuration returned no results
QWEN2.5_72B,a100_sxm,trtllm,1.0.0,agg,PASS,
QWEN2.5_72B,a100_sxm,trtllm,1.0.0,disagg,PASS,
QWEN3_0.6B,a100_sxm,trtllm,1.0.0,agg,PASS,
QWEN3_0.6B,a100_sxm,trtllm,1.0.0,disagg,PASS,
QWEN3_8B,a100_sxm,trtllm,1.0.0,agg,PASS,
QWEN3_8B,a100_sxm,trtllm,1.0.0,disagg,PASS,
MOE_Mixtral8x22B,a100_sxm,trtllm,1.0.0,agg,PASS,
MOE_Mixtral8x22B,a100_sxm,trtllm,1.0.0,disagg,PASS,
GPT_OSS_20B,a100_sxm,trtllm,1.0.0,agg,FAIL,Configuration returned no results
GPT_OSS_20B,a100_sxm,trtllm,1.0.0,disagg,FAIL,Configuration returned no results
QWEN3_32B,a100_sxm,trtllm,1.0.0,agg,PASS,
QWEN3_32B,a100_sxm,trtllm,1.0.0,disagg,PASS,
LLAMA2_70B,a100_sxm,trtllm,1.0.0,agg,PASS,
LLAMA2_70B,a100_sxm,trtllm,1.0.0,disagg,PASS,
QWEN3_480B,a100_sxm,trtllm,1.0.0,agg,FAIL,Configuration returned no results
QWEN3_480B,a100_sxm,trtllm,1.0.0,disagg,FAIL,Configuration returned no results
LLAMA2_7B,a100_sxm,trtllm,1.0.0,agg,PASS,
LLAMA2_7B,a100_sxm,trtllm,1.0.0,disagg,PASS,
QWEN2.5_1.5B,a100_sxm,trtllm,1.0.0,agg,PASS,
QWEN2.5_1.5B,a100_sxm,trtllm,1.0.0,disagg,PASS,
QWEN3_235B,a100_sxm,trtllm,1.0.0,agg,PASS,
QWEN3_235B,a100_sxm,trtllm,1.0.0,disagg,PASS,
DEEPSEEK_V3,a100_sxm,trtllm,1.0.0,agg,FAIL,Configuration returned no results
DEEPSEEK_V3,a100_sxm,trtllm,1.0.0,disagg,FAIL,Configuration returned no results
QWEN3_30B_A3B,a100_sxm,trtllm,1.0.0,agg,FAIL,Configuration returned no results
